分析文本,积极情感,消极情感,sentiment,confidence
 马云主演吗？,0.255101,0.744899,0,0.433109
         良心之作  非常精彩  ,0.577353,0.422647,2,0.0607847
大概12点发,0.483803,0.516196,1,0.67607
 偏见从本质上来讲并无不同，对主旋律的偏见不见得就比对黑五类的偏见高明到哪儿去,0.184114,0.815886,0,0.590857
         好看。热爱祖国。,0.84777,0.15223,2,0.661711
 丰富的镜头语言和赋予巧思的桥段串接，红色主题电影《古田会议》的开篇令观众耳目一新。编剧在主旋律中尽量做了尝试，让人物不那么样板化，有意增加了些风趣幽默的性格元素。1929年的这场会议让中国共产党领导的人民武装从此走向成熟，影片还原了其历史背景。再高大上的理想信仰也应当与现实接轨。,0.986474,0.0135264,2,0.969941
         这部片子的教育意义真的是值得思考的，逻辑非常混乱，到底什么才是正确的道路？猜想为了照顾后代的情绪，所以所有的我方人员都是标准的好人，不容许有负面形象，可这样和和气气的怎么表现矛盾和冲突啊,0.768259,0.231741,2,0.485019
         好臘肉，不吃嗎？,0.195407,0.804593,0,0.565762
         能把毛塑造得不是完人，就值得鼓励,0.569826,0.430174,2,0.044058
         不懂政治的人不要看也不要评，因为他不是艺术，是将历史通俗的告诉你的过程!很好！,0.772784,0.227216,2,0.495075
         良心之作，非常精彩，很有教育意义（每条五毛，括号内内容除外，9点发）,0.692709,0.307291,2,0.317131
 准确描述过去发生的事，让大家了解了那段历史，这就够了。,0.868086,0.131914,2,0.706859
         每年一部红色电影,0.73833,0.26167,2,0.418511
         本想给三颗星的，加一颗星抵消不了解这段历史乱评者，再加一颗星抵消恶意政治攻击者。虽微不足道，至少态度在这。,0.01682,0.98318,0,0.962622
         没理由，现在的年轻人需要了解历史，特别是党奋斗建国的历史。,0.947233,0.0527668,2,0.88274
 说服力，把握关键，绝不放弃,0.604152,0.395848,2,0.120337
         马云版毛爷爷，哈哈。,0.836492,0.163508,2,0.636648
         哪里可以看  我想看,0.6427,0.3573,2,0.206
 放下对演员像不像的偏见，进入到故事里，导演技术很精当，思考耶深入，看了再来骂吧,0.79873,0.20127,2,0.552734
         剧本太差，分给释小龙,0.0245666,0.975433,0,0.945407
         国家的历史永不可忘,0.722268,0.277732,2,0.382818
         远看像马云，近看是雷军一个字评论字幕：吊！,0.358184,0.641816,0,0.204036
 好看，不比《建国大业》差,0.183156,0.816844,0,0.592987
