分析文本,积极情感,消极情感,sentiment,confidence
 有人写为黑而黑，仿佛关于TG的东西不黑不行，智商也好不到哪去！,0.15235,0.84765,0,0.661445
         豆瓣的影评真充满了戾气,0.582659,0.417341,2,0.0725766
 推翻三座大山！劳动人民得解放！,0.546806,0.453194,1,0.0638854
         五分反击装逼狗，你们美国爸爸也有南北战争，也有内战英雄,0.615576,0.384424,2,0.145724
         来平衡下,0.689518,0.310482,2,0.31004
         绝世好片，并且客观的阐述了内战时期国民党的残暴和共产党的关怀与人性的光辉。可以说是中国的‘拯救大兵瑞恩’。打一星的人你们都是傻逼吗,0.0575168,0.942483,0,0.872185
 总有傻逼看都没看就评分。没有经历过那个年代的人永远不懂。,0.0851423,0.914858,0,0.810795
 我要这部电影的读后感,0.526071,0.473929,1,0.478586
         历史就是这样,0.566608,0.433392,2,0.0369059
         电影《渡江！渡江！》（原名《千里渡江第一船》）是献给“中国共产党第十八次全国代表大会和中国人民解放军建军八十五周年”的军旅大片，该片在中央军委原副主席迟浩田上将的亲切关怀下、根据王济生将军所著的《血火雄风》一书改编而成，好汉不忘当年勇，千里渡江显风流，场面宏大，气势恢宏。,0.977994,0.0220059,2,0.951098
         美分死全家,0.402506,0.597494,0,0.105542
         一群2B的胡乱点评，不喜欢这题材的电影可以不看啊，一看就是个小屁孩。喜欢委员长的可以去台湾生活啊，干吗要来中国。电影是根据当时环境所描绘出来的真人真事，没有他们的生命付出，就没有现在的中国。不要老是说什么窝里斗，要知道好人中也有坏人，坏人中也有好人。跟其他正在受战乱的小国家比比，我,0.64952,0.35048,2,0.221156
