分析文本,积极情感,消极情感,sentiment,confidence
 呵呵，傻逼片儿 ~！！！,0.783107,0.216893,2,0.518016
         不解释,0.178583,0.821417,0,0.603149
         哈哈哈哈哈 保持队形的一星 挑战豆瓣最低分记录,0.885685,0.114315,2,0.745967
         直接击沉,0.486087,0.513913,1,0.721742
         湘南纯爱组 ╮(╯_╰)╭,0.420012,0.579988,0,0.0666408
         保持队形,0.739932,0.260068,2,0.422071
         一星不解释！！！,0.0272047,0.972795,0,0.939545
         我要当喜剧片看！,0.428862,0.571138,0,0.046973
         黑我大湖南，这是在作死,0.363243,0.636757,0,0.192793
         这种片子不是鼓动吊丝起来造反么，元芳你怎么看？,0.0567977,0.943202,0,0.873783
         这还用评么，都跟上吧，哈哈,0.735073,0.264927,2,0.411274
         这片不是用来看的，是用来围观的~,0.32047,0.67953,0,0.287844
         话说这片分很低，过来看看~~~~~~,0.731426,0.268574,2,0.403169
         刷一手,0.50313,0.49687,1,0.937404
         哈哈哈哈哈,0.931792,0.0682084,2,0.848426
         没啥可说的,0.392808,0.607192,0,0.127093
         10个人100%打1星，为什么还能有5.7分？,0.377496,0.622504,0,0.16112
         同志们，这个分比放手爱高啊，我们还是去刷放手爱吧，哈哈,0.746586,0.253414,2,0.436858
 深藏功与名,0.622862,0.377138,2,0.161916
         参观了一下，烂,0.387161,0.612839,0,0.139642
         呵呵,0.725128,0.274872,2,0.389173
         mark,0.536152,0.463848,1,0.276961
         太流逼了,0.356568,0.643432,0,0.207627
         加分,0.569531,0.430469,2,0.0434023
         我只是来打分的。。。,0.548483,0.451517,1,0.0303352
         水军v5,0.402598,0.597402,0,0.105338
         一声叹息。,0.534375,0.465625,1,0.312505
         不看，直接给一星，尼玛，懒得看了,0.0494932,0.950507,0,0.890015
 跟进,0.521038,0.478962,1,0.579235
         我能说脏话吗,0.219432,0.780568,0,0.512373
         关于组织观看电影《湘南起义》的通知……,0.421016,0.578984,0,0.0644088
         哈哈哈哈太好看了,0.724448,0.275552,2,0.387661
         没看过，看这片名忍不住来嘲笑的,0.698023,0.301977,2,0.32894
         看都不想看，典型的洗脑电影。居然有2个SB 给5星，MLGB,0.0979787,0.902021,0,0.78227
         我是凑热闹的,0.518576,0.481424,1,0.628483
 恶心,0.0759257,0.924074,0,0.831276
         爱情搞笑片,0.584873,0.415127,2,0.0774956
 是这样的，我搜豆瓣最低分，看到这个，所以专程前来打个分，深藏功与名，话说，是哪位大神给了三颗心啊，说好的一颗心嗯,0.740425,0.259575,2,0.423166
         湘南造反,0.538125,0.461875,1,0.237503
         没看过，不过这个分我也不好意思多给,0.760411,0.239589,2,0.46758
 吐,0.306042,0.693958,0,0.319906
 没看，纯打分,0.386216,0.613784,0,0.141742
         导演我操你妈。删掉那几个污蔑我军将士的镜头，算个及格的流水账式革命片，给个3星是可以的，你为什么要加那几段恶心人的镜头？革命奇侠吗？伍若兰是朱老总老婆还是中南海保镖啊？垃圾导演反串黑革命先烈。,0.0115218,0.988478,0,0.974396
真不想像前面那些文青因为反动而给这个革命片一星，给1星是由于本片客观上抹黑污蔑了我党。,0.0251823,0.974818,0,0.944039
         都到2.6了 实在看不下去,0.291769,0.708231,0,0.351624
 for fun,0.540233,0.459767,1,0.195345
         哈哈  好电影？,0.757443,0.242557,2,0.460984
         尼玛，烂片。。。,0.215954,0.784046,0,0.520102
 无逻辑，烂片,0.41223,0.58777,0,0.0839341
         垃圾,0.0712529,0.928747,0,0.84166
 专注拉低平均成绩100年!,0.59932,0.40068,2,0.1096
         一星都嫌高了。。。,0.209648,0.790352,0,0.534115
         贡献力量,0.595525,0.404475,2,0.101166
 我爱十八大,0.660276,0.339724,2,0.245058
 请大家保持队形，不要乱评分。,0.617788,0.382212,2,0.15064
         保持下队形,0.751206,0.248794,2,0.447125
         我也来凑个热闹,0.635614,0.364386,2,0.190253
         剪辑太乱，例如是军队进宜章那里，尼玛，人家团座刚进屋，啥动作都么有就转镜头。,0.0263176,0.973682,0,0.941516
演员演技就不说了，全靠配音给提升感觉，原生估计没法听了。,0.0710091,0.928991,0,0.842202
看了某组织的文章后，一直以为是豆瓣在黑这个电影，看完电影后我才知道原来电视剧拍成电影是这样式的。,0.436775,0.563225,0,0.0293899
         不解释,0.178583,0.821417,0,0.603149
         百度了下豆瓣最低分电影 来观光下,0.730023,0.269977,2,0.400051
 我没看过这个电影，我就是来打分的,0.644511,0.355489,2,0.210025
         呵呵,0.725128,0.274872,2,0.389173
         哈哈哈哈哈哈哈,0.979911,0.0200888,2,0.955358
         你们随意感受一下,0.496887,0.503113,1,0.937739
         呵呵,0.725128,0.274872,2,0.389173
         垃圾箱！！！,0.504522,0.495478,1,0.909562
         啥都别说了，就拿这部开刀，大家都给一分，整出一部豆瓣最低分的电影吧！,0.289576,0.710424,0,0.356497
         不解释,0.178583,0.821417,0,0.603149
         毫无特色的斯巴达献礼片,0.153745,0.846255,0,0.658345
         世界级顶级烂片！给跪了！浪费钱啊！,0.657675,0.342325,2,0.239278
         为了保持最低分,0.678158,0.321842,2,0.284795
 我去怎么涨了？！我们说好这电影，要一直一直打一星。,0.218461,0.781539,0,0.51453
