词语,权重,词频
张榕容,0.10435148938701581,16
电影,0.09080577917594108,25
歌舞片,0.08587885235957447,13
音乐,0.06510313368599019,18
范逸臣,0.05308496648336061,7
情人节,0.05244747214615384,9
魏德圣,0.05217574469350791,8
小球,0.04967179059623568,9
台湾,0.047710812111838516,14
唱歌,0.04490341914348064,10
尴尬,0.04431496472189308,11
爱情,0.041105602975455534,11
52,0.03913180852013093,6
好听,0.037837726285302783,8
海角,0.037386048289470813,7
歌舞,0.03612290298217131,8
舒米,0.03260984043344244,5
赫兹,0.031991958320556464,6
我爱你,0.03193958404445171,6
七号,0.031412807066350246,6
平权,0.030719095260229135,5
客串,0.030530898665848336,5
爱乐,0.03003356763256956,5
剧情,0.029913269123338793,6
一星,0.029486184393344245,5
同性,0.028828350086743046,5
爱情片,0.027936858403273323,4
真的,0.02766158250918167,9
有点,0.027488110591325696,9
但是,0.027323266730474634,12
清新,0.027010485806252045,6
开心,0.026619825388477906,6
页面,0.026616320037043097,5
李千娜,0.026087872346753953,4
我球,0.026087872346753953,4
10,0.026087872346753953,4
棉花,0.025511252976950356,7
可爱,0.024937515237577743,6
喜欢,0.02488854731268958,8
这部,0.0247186208202946,6
感觉,0.024621836505444628,8
导演,0.02358793974942717,6
唱到,0.02298610326677578,4
歌曲,0.022697620911047465,5
惊喜,0.021396327437943265,5
一部,0.021197760687888707,6
亮点,0.02086408556685761,5
特别,0.020721241902324057,8
不行,0.02065244060648118,6
片子,0.020284795343131476,4
