词语,权重,词频
摄影,0.08213380274006722,18
江一燕,0.07367083615232492,11
风景,0.06818831034738375,16
无人区,0.06728643599260503,12
李屏宾,0.06697348741120447,10
剧情,0.06143531910709244,12
鸡汤,0.0552247976702521,10
矫情,0.053660072843697476,9
七十七,0.05298032990610644,8
导演,0.05248151412596639,13
电影,0.052218664542588236,14
片子,0.052075672078375344,10
台词,0.05180233782532213,10
探险,0.04462599148603361,9
景色,0.04437978648218488,10
题材,0.041631705009344544,12
羌塘,0.03264209381495798,6
西藏,0.031853048826442576,8
还是,0.031250368314980397,14
为了,0.030970243225344536,12
故事,0.03085903141547899,9
文艺,0.030834536204117646,7
画面,0.03056335201658824,7
特别,0.029257871181831933,11
叙事,0.02905271354605042,6
穿越,0.027701497264605045,6
页面,0.02733205301282913,5
美的,0.02678939496448179,4
波齐,0.02678939496448179,4
拍摄,0.0260578465749916,6
户外,0.025796441932072825,5
风光,0.024866849096,6
藏区,0.023764349100280115,4
但是,0.023381675031260506,10
文青,0.023362483448739497,3
国产片,0.023362483448739497,3
龙卷风,0.023182811407282913,4
自由,0.02313854179078431,7
特效,0.021865642410263304,4
梦想,0.021708893231176467,5
纪录片,0.021220976701691874,4
星空,0.021194456908661063,4
那么,0.020619701228638654,8
旁白,0.020351122996134452,3
结尾,0.020330227259764706,4
男主,0.020092046223361342,3
风光片,0.020092046223361342,3
77,0.020092046223361342,3
冈仁,0.020092046223361342,3
觉得,0.01893690168572549,7
