词语,权重,词频
刘亦菲,0.22559134964620492,38
杨洋,0.22117454108780835,39
电影,0.12949386570037003,41
特效,0.1249780165989848,27
演技,0.10489167984184063,22
三生,0.08400352415863377,16
真的,0.05612361878167457,21
三世,0.05489678969797913,14
剧情,0.05202184279229602,12
夜华,0.04536913663339658,8
这部,0.03940556227068311,11
抄袭,0.03465113484079697,7
有点,0.034525310314184064,13
IP,0.034026852475047435,6
桃花,0.032034505266907015,8
一星,0.03076746261461101,6
拉面,0.030291976605313093,6
不错,0.029355947901802654,10
素素,0.028355710395872865,5
造型,0.027570136987817837,8
十里,0.027186249490175524,7
还是,0.02646200542800759,14
片子,0.026457801136593927,6
广告,0.024482465911029413,7
教主,0.02364528467564042,5
故事,0.023227227947134724,8
页面,0.02314407714796015,5
还有,0.02292779491605313,12
一个,0.022722185259112904,17
最烂,0.02268456831669829,4
装逼,0.02268456831669829,4
剧版,0.02268456831669829,4
颜值,0.02268456831669829,4
出戏,0.02268456831669829,4
没有,0.02215007280704459,15
面瘫,0.022007765766603415,4
电影院,0.021978056602822583,5
好看,0.021621144733064517,6
猥琐,0.02089242105142315,4
服装,0.019743478290967745,6
主角,0.019023113533159393,5
烂片,0.018796295737286528,3
就是,0.0187760769379222,11
天仙,0.018738758939734344,4
神仙姐姐,0.018219258107163187,3
不是,0.017978226486242883,10
但是,0.017819099116565464,9
影楼,0.01780984339312144,3
ps,0.017013426237523718,3
gay,0.017013426237523718,3
