词语,权重,词频
恐怖片,0.1588648874514286,26
中邪,0.10265211211010988,19
纪录片,0.09157667638191648,22
恐怖,0.0775847220228,23
粗糙,0.07073059982215384,20
导演,0.06651799009338462,21
电影,0.06438389188657583,22
国产,0.04389758589874286,13
惊悚,0.04334336178250549,9
结尾,0.03987852270184615,10
演员,0.03738320730967912,12
成本,0.035575270147815384,14
鼓励,0.03412106761408352,12
镜头,0.03405114525065934,9
王叔,0.03376368887024176,6
片子,0.032687498781503295,8
农村,0.029439888547626372,11
女巫,0.028508927996307692,6
布莱尔,0.027780347662417586,6
吓人,0.0272332973684,7
本土化,0.026803537671296708,6
王婆,0.024595956061898905,6
豆瓣,0.024457338307032967,5
结局,0.023820253118399998,7
乡村,0.023273390525630773,7
还是,0.022768125486628574,13
实录,0.022661300979085714,6
鬼影,0.022136343418681318,5
不是,0.021656057961714284,13
页面,0.02144514928698901,5
值得,0.02116082039796044,8
惊喜,0.020687192014285715,6
分钟,0.0205368265904,7
算命,0.020122517634307693,5
纪录,0.0198433864722989,6
复仇,0.01934244225087912,5
灵异,0.019263716347780218,4
题材,0.019054511138892307,7
故事,0.0188319217356,7
业余,0.018747339832637364,5
后半段,0.018520231774945058,4
悬疑,0.017999324845362638,4
演技,0.0176712616269011,4
感觉,0.01735839473633846,7
接地,0.0172128418247033,4
拍摄,0.01703782276057143,5
拍法,0.01688184443512088,3
剧本,0.01687059169824176,5
这部,0.016596788265054944,5
铺垫,0.016224789129687913,4
