词语,权重,词频
电影,0.19216291238719865,17
冯小宁,0.1826704711818336,9
阿多丸,0.1217803141212224,6
烂片,0.11211825527504245,5
举起手来,0.10966231004414259,6
丑化,0.09559949339898134,5
追击,0.08620643473395587,6
页面,0.0828314340032258,5
脑残,0.08118687608081493,4
真是,0.07710400369168081,8
这部,0.07692569093989814,6
钓鱼岛,0.07130377093582342,4
负分,0.07080141418675721,3
弱智,0.054831155022071296,3
搞笑,0.05365050164006792,3
片子,0.04734553887601019,3
严守一,0.04720094279117148,2
低分,0.041735958368421054,2
电影频道,0.04111686989032258,2
TMD,0.040593438040407465,2
许三多,0.040593438040407465,2
CCTV6,0.040593438040407465,2
CCTV,0.040593438040407465,2
这么,0.03999800702385398,5
周星驰,0.038005526149066216,2
豆瓣,0.03778638006689304,2
一星,0.036705043119185064,2
努力创造,0.036137796651952464,2
居然,0.035873498757707976,3
成龙,0.03576700109337861,2
玩意,0.03532825158064516,2
日本,0.03399758584842105,4
拍出,0.03398593328998302,2
这样,0.032528037246943975,5
不错,0.03151901774719864,3
正视,0.030569907816706283,2
就是,0.0305448141573854,5
怎么,0.030014420073208828,4
自己,0.029906951048726656,5
敌人,0.02976698243353141,3
底线,0.02919311627816638,2
难看,0.02902824963837012,2
冲着,0.027614114282444823,2
还是,0.027058892768488964,4
爱国,0.02616730818631579,2
这片,0.026051499654940576,2
中国,0.02569881737402377,5
第一部,0.024439692831001697,2
这个,0.024226316499219015,4
可以,0.023803865889032258,4
