词语,权重,词频
韩寒,0.26866097791256827,48
电影,0.11217739070112022,37
乘风破浪,0.09628127944640257,19
后会无期,0.08420101393424408,14
导演,0.059066521257786886,18
小镇,0.05516901189320583,14
故事,0.047379948811106555,17
郭敬明,0.04306461242367941,8
小聪明,0.04077459909253187,8
演员,0.03227337455582878,10
段子,0.031478725741657554,7
剧情,0.029130020956402554,7
情怀,0.029075992309663026,7
青年,0.028911500166757743,10
好看,0.0276729648435337,8
男癌,0.027219415990209467,5
赵丽颖,0.027219415990209467,5
没有,0.026932444325068305,19
难兄难弟,0.026647206454007286,5
一部,0.026540638894057375,9
剪辑,0.023905920469717668,5
人物,0.0237305344852459,9
怀旧,0.022610167892577415,5
页面,0.022216627790482696,5
一个,0.021811642316124768,17
还是,0.021772797596502733,12
这部,0.02063261929125683,6
时代,0.02005949104029144,8
少年,0.019446318173142078,6
三星,0.018732591950819673,5
烂片,0.018043074414480872,3
就是,0.018023665840227687,11
真的,0.017958194959285065,7
觉得,0.01759165730367942,8
亲情,0.017315534603460837,4
片子,0.016931707588324223,4
不错,0.016907742671311475,6
尴尬,0.01681348947160747,5
20,0.016331649594125683,3
笑点,0.016331649594125683,3
牛爱花,0.016331649594125683,3
夏洛特,0.016331649594125683,3
邓超,0.016331649594125683,3
风格,0.016247695531967213,6
自恋,0.01584438874180328,3
镜头,0.01567827473087432,4
虽然,0.015570601367431693,8
感觉,0.015413875107404374,6
拍电影,0.015202307281010932,3
你们,0.01508011282485428,7
