词语,权重,词频
信仰,0.30885918513234045,4
电影,0.2833140310289362,4
故事,0.26044147081148933,4
观众,0.15649634024765957,2
生日快乐,0.13075786956914895,1
减两星,0.12717837769042553,1
挺强,0.12717837769042553,1
抛出来,0.12237002531063829,1
讲好,0.12059285419680851,1
谢谢你们,0.11499611913404256,1
自强不息,0.11363618965,1
认认真真,0.11281745517021277,1
说三道四,0.10946552914148937,1
剧组,0.10890548942340426,1
直白,0.10837346367340425,1
反复强调,0.10762221295851064,1
粉饰,0.10692053245000001,1
立意,0.10605161722606384,1
讲故事,0.10584504184457448,1
哈哈哈,0.1048683657887234,1
智商,0.10238310141446808,1
主旋律,0.10153158324776596,1
灵芝,0.10087060685297873,1
你们,0.10065631539021277,2
感染力,0.10000923384734042,1
五星,0.09888837729776595,1
电影院,0.09857392195478724,1
小女孩,0.09826849529638297,1
加固,0.09245948403329787,1
刻意,0.09151447112159575,1
烈士,0.08998148873882979,1
党内,0.08975367922287233,1
太过,0.08774668586925531,1
书写,0.08565269012797873,1
哈哈,0.08385196210085107,1
党员,0.08281686730308511,1
鲜血,0.08159783196170213,1
只会,0.08063733359287234,1
强制,0.08042891859840426,1
虽说,0.07959907144723405,1
随意,0.07917382307053192,1
可以,0.07457700536510639,2
牺牲,0.07449970966861702,1
不论,0.07407833585904255,1
资格,0.07352491900000001,1
英雄,0.07231229350478724,1
评价,0.0717999168943617,1
分钟,0.0710049855519149,1
过度,0.07062500594968085,1
怎么样,0.07030149442340426,1
