词语,权重,词频
哈哈哈,0.16850643391692305,10
电影,0.11380990990051283,10
一星,0.11086805331897437,6
灵芝,0.09724961070953847,6
负分,0.07128552642051283,3
主旋律,0.06525790649770939,4
看过,0.06256443174948718,5
编剧,0.058717755028581196,4
题材,0.05292919760803419,5
好看,0.0519400263217094,4
哈哈哈哈,0.049723000167076925,3
信仰,0.04962865538878632,4
导演,0.04927258525435897,4
片名,0.04844271977292308,3
片子,0.04766926905635897,3
感人,0.047567717121487184,3
请不起,0.04515395032957265,2
养活,0.04353349538523077,3
人参,0.042407517282820516,3
不错,0.04231270986461538,4
此片,0.04139801088102564,2
95,0.040871000009914525,2
老戏骨,0.040871000009914525,2
2016,0.040871000009914525,2
差评,0.040871000009914525,2
预告片,0.040414482428376065,2
洗脑,0.04001180538324786,2
真的,0.038521314901675215,4
影片,0.037377623677641025,3
什么,0.03658361339384615,6
感动,0.036395755868564104,3
抄袭,0.035675014527179486,2
恐怖分子,0.03546775086290598,2
拍出,0.03421831573982906,2
不怕死,0.03249992648649573,2
不是,0.032391539686324786,5
名字,0.031686594231589746,3
酷刑,0.031301694097811965,2
就是,0.030753667587521367,5
呵呵,0.02996539902540171,2
水军,0.029751044857128203,2
我们,0.028985623649487178,5
一个,0.028897958688512818,6
儿子,0.02874169235492308,3
垃圾,0.02731583250577778,2
这种,0.027148381553846152,4
现在,0.027034171224615385,4
共产主义,0.02698914356365812,2
党员,0.026614651372615386,2
年代,0.025863101636666667,3
