词语,权重,词频
灵芝,0.23411943318962963,8
电影,0.16439209207851851,8
信仰,0.15681276529095678,7
看过,0.13555626879055557,6
这部,0.09322887235308643,4
女儿,0.07426820624962964,4
95,0.07379486112901235,2
非常,0.06053435810296296,4
主旋律,0.058913387810432094,2
值得,0.05571859537657407,3
共产主义,0.048730398101049385,2
火车,0.04664689640648148,2
预算,0.044489839405617286,2
你们,0.04380413725314815,3
自己,0.04349430658691358,4
蝙蝠侠,0.04290332608641975,1
妄加评论,0.04290332608641975,1
为了,0.042655774812685184,3
中国共产党,0.04133659481444445,2
一部,0.03997478944537037,2
党规,0.039512547417592594,1
生日快乐,0.03793592512191358,1
诺兰,0.03793592512191358,1
符合,0.037884143600308645,2
生命,0.037871040560987654,2
一个十七岁,0.037373204267592594,1
还有,0.03729304913814815,3
年敬,0.03689743056450617,1
Future,0.03689743056450617,1
盗梦,0.03689743056450617,1
大师级,0.03689743056450617,1
卫晓,0.03689743056450617,1
茼称,0.03689743056450617,1
续作,0.03689743056450617,1
诚邀,0.03689743056450617,1
零酬,0.03689743056450617,1
好臘肉,0.03689743056450617,1
打一星,0.03689743056450617,1
喷油,0.03689743056450617,1
我要,0.03689743056450617,1
差评,0.03689743056450617,1
老戏骨,0.03689743056450617,1
NBA,0.03689743056450617,1
HP,0.03689743056450617,1
大卖,0.03689743056450617,1
人能,0.03689743056450617,1
名子,0.03689743056450617,1
花季,0.03689743056450617,1
现在,0.03660877353333333,3
商业片,0.03612176874876544,1
