词语,权重,词频
八月,0.08425016781503845,31
电影,0.08045039584875138,33
导演,0.0686045424495423,26
记忆,0.06010589534213109,22
黑白,0.0533040544593885,17
怀旧,0.04363406402820945,12
童年,0.042873235953658,14
时代,0.03629218060420359,18
九十年代,0.03622608739194434,10
90,0.03501945808246063,8
年代,0.033240383282570486,18
昙花,0.033206088010252655,8
回忆,0.03233825405839619,12
父辈,0.028629932675005493,8
堆砌,0.028629932675005493,8
视角,0.02669552811187111,8
喜欢,0.02505714420953497,12
影片,0.024019673948831928,9
非常,0.02334041709352618,13
那个,0.02259151378574881,13
镜头,0.02206210537925668,7
黑处,0.021887161301537894,5
80,0.021887161301537894,5
情感,0.021824114917114612,8
一部,0.021341355917740754,9
下岗,0.0211746564077554,6
制片厂,0.021143928669996336,6
致敬,0.021083733193928964,6
夏天,0.020163080216858295,8
生活,0.018664403794862686,11
孩童,0.018650870716404245,5
没有,0.018236974383888684,16
三星,0.01807547649534969,6
故事,0.017928596306320026,8
摄影,0.01789440228134017,6
页面,0.017864413997766383,5
声音,0.01753805409063713,9
改制,0.017333014597370928,6
片子,0.017018505064060784,5
电影院,0.01696438788676309,5
情怀,0.016700025922482608,5
德昌,0.016603044005126327,4
情节,0.01640307096270231,6
符号,0.01600427491799341,6
少年,0.015636805092720616,6
张大,0.01557497273090443,5
情绪,0.015524644121838155,7
自己,0.015480214574324422,12
金马奖,0.015479272269205419,4
一个,0.015475380659813253,15
