词语,权重,词频
片子,0.11419542341511055,10
抗日,0.07904936811714987,9
日日,0.06614317420260443,6
电影,0.06543370741208845,8
指战员,0.061867544566953314,5
八十二,0.058745786255036854,4
主旋律,0.058623887133230954,5
战果,0.05428797677487715,5
日军,0.0533479972185258,6
爱国,0.047335824698218676,5
壮士,0.044948832731547914,4
神剧,0.04405933969127764,3
鬼子,0.04307065953282555,4
历史,0.039585624093427516,7
什么,0.03943749478267813,9
连长,0.03849911332614251,4
这部,0.03710829808648649,4
尊重,0.03520834220014742,4
真的,0.03460529670988943,5
刘老根,0.03415399914496314,2
票房,0.03309839088261671,3
战役,0.032557765761769046,4
新四军,0.03152421420611794,3
指导员,0.031369554995675675,3
烈士,0.031172948187162167,3
一百七十多,0.030747870493611794,2
题材,0.030431037445405405,4
狙击枪,0.029751641726535626,2
果断,0.029705292363390663,3
82,0.029372893127518427,2
SB,0.029372893127518427,2
...,0.029372893127518427,2
差评,0.029372893127518427,2
假假,0.029372893127518427,2
星爷,0.029372893127518427,2
戰鬥,0.029372893127518427,2
記錄,0.029372893127518427,2
通過,0.029372893127518427,2
一個,0.029372893127518427,2
浪费,0.02873176076004914,3
高老庄,0.028262364568058966,2
看成,0.027969076816289927,3
字幕,0.027500313147174448,2
观影,0.026673600035135133,2
一星,0.026559300242260445,2
这个,0.026294779640122855,6
剪辑,0.02579724882137592,2
玩意,0.025563071475429973,2
二百多,0.025281964961425065,2
评论,0.024976676413157248,3
