词语,权重,词频
电影,0.11020833047328141,17
抗日,0.08353935170056474,12
神剧,0.08148332280457643,7
老庄,0.07780841009970789,8
片子,0.07240901628814021,8
这部,0.06617706713281403,9
那些,0.06551624969772152,14
豆瓣,0.06501317777818891,6
五星,0.054306762216105156,6
不错,0.054229897136611485,9
你们,0.05067119284979552,11
新四军,0.04997217208136319,6
烈士,0.049415345324926974,6
致敬,0.04672158013033106,5
八十二,0.046561898745472244,4
真实,0.04444299225399221,7
一星,0.04210179239961052,4
一部,0.03783397793661149,6
抗战,0.03556425091533593,5
82,0.034921424059104186,3
打一星,0.034921424059104186,3
演员,0.03450454261178189,5
值得纪念,0.033113130363680625,3
英雄,0.03309325992916261,5
我们,0.03302159656270691,10
这么,0.03211524497747809,7
应该,0.031926386849347614,7
评分,0.031449571741382666,4
改编,0.02965795348576436,4
指战员,0.02942172226533593,3
拍得,0.029120307748539437,3
记住,0.029091904849230767,4
纯粹,0.028659028983330087,4
什么,0.02778502283076923,8
真的,0.02742815143315482,5
精神,0.02735985029902629,5
历史,0.026893335383544305,6
史实,0.02606799584097371,3
鬼子,0.025603347268539432,3
编剧,0.025085116863476146,3
没有,0.02424789534683544,8
英勇,0.023839001187341773,3
故事,0.02383787561468354,4
觉得,0.02350978544235638,5
低成,0.023280949372736122,2
喷子,0.023280949372736122,2
高老庄,0.02240074465277507,2
这是,0.020894003293037974,5
真实感,0.02088144853281402,2
抗日战争,0.020162126610701072,3
