词语,权重,词频
前任,0.10925473378735819,30
韩庚,0.10656599881029172,22
电影,0.08902351339665317,33
你们,0.07667498903306322,40
男人,0.06257336338668557,26
女人,0.05835957623075364,26
分手,0.04563957869399513,14
至尊宝,0.04359518133148298,9
剧情,0.03702797292212318,10
大叔,0.0357851436376013,10
女主,0.033907363257820095,7
票房,0.032749704430854946,9
整容,0.03040158533202593,8
台词,0.029973151707682336,8
导演,0.029198199325162072,10
笑点,0.029063454220988653,6
编剧,0.027836212878217182,8
真的,0.027392588189805507,12
再见,0.02691168782165316,8
烂片,0.026757557681118316,5
系列,0.026561235054943275,10
这个,0.02601776818524311,18
矫情,0.02587337385899514,6
爱情,0.024978603664582655,9
这部,0.024478245253160454,8
性喜剧,0.02421954518415721,5
泪点,0.02421954518415721,5
情感,0.024149780323598057,8
段子,0.02400808580528363,6
芒果,0.02372174131016207,6
片子,0.02259847844243922,6
桥段,0.02254475066794976,5
价值观,0.02141068262034846,6
大话西游,0.021406046144894653,4
就是,0.020411064630615885,14
演技,0.020361689729132902,5
本片,0.020282630941491086,4
没有,0.02018037967682334,16
自己,0.019984823204846028,14
居然,0.019976557992710697,7
页面,0.019768117758468394,5
怎么,0.019698483352341978,11
需索,0.019625475174554294,4
low,0.019375636147325768,4
三观,0.019375636147325768,4
郑恺,0.019375636147325768,4
这种,0.019305271323743923,12
有情人,0.019159215737925443,4
结局,0.01882070242337115,6
女演员,0.018772181247467587,5
