词语,权重,词频
毒品,0.1793759356779439,2
水军,0.162657581695514,2
执政,0.13574037126747662,2
草泥马,0.12343486421869158,1
爱如,0.11172679909252335,1
彭丹,0.11172679909252335,1
心路历程,0.11172679909252335,1
革命英雄主义,0.11172679909252335,1
彭丹牛,0.11172679909252335,1
某支,0.11172679909252335,1
主题曲,0.11047884215233644,1
顺带,0.10839338840186916,1
杂糅,0.1052487880598131,1
打分,0.09668532327570094,1
期间,0.09619067935869158,2
女战士,0.09616597887196263,1
唾骂,0.09543736633551402,1
没看,0.09498138349252337,1
海报,0.09298536386345795,1
爱情故事,0.09180504867355141,1
消费国,0.09061668254747662,1
战地,0.09020731224233645,1
大烟,0.08785857926775702,1
苗子,0.08715856704177571,1
凭空,0.08715856704177571,1
无毒,0.0868739015513084,1
感人,0.08668883026813085,1
表扬,0.08564933835121495,1
生产国,0.08532703764028038,1
溃败,0.08346602198504673,1
怎么,0.08260978235102803,2
轰轰烈烈,0.08259890298084113,1
那段,0.08180545023514019,1
世界,0.08163606365551401,2
惊叹,0.08122608877691588,1
好听,0.0810240096740187,1
不过,0.07935916940859813,2
日记,0.07917132731794393,1
好坏,0.0783478949113084,1
浪漫主义,0.07759117470074765,1
受不了,0.07711872349355141,1
造就,0.07645201752682243,1
光荣,0.07582972215523365,1
真相,0.0753819337842056,1
神奇,0.07477364764850467,1
岁月,0.07357382366121495,1
八路军,0.07346189664205607,1
还原,0.07294255223869159,1
角度看,0.07181375281205607,1
勇气,0.071776518522243,1
