词语,权重,词频
题材,0.2692485269626087,2
有彩,0.25988625006304344,1
首映礼,0.2569833937021739,1
武戏,0.2419149767326087,1
选题,0.24059705017173913,1
七一,0.23600337422391302,1
建党,0.22093495725434784,1
理清,0.21758385551956522,1
浮躁,0.21014285103,1
原委,0.2031913208778261,1
敬意,0.1977534045052174,1
单薄,0.1900352685382609,1
镜头,0.1871168005923913,1
编剧,0.1866841668028261,1
踏实,0.18340969232499998,1
这种,0.17262829575,2
惊喜,0.17051942692934782,1
这样,0.16660012120391304,2
当下,0.15063063146195652,1
可惜,0.14706500662934782,1
电影,0.14473651585173913,1
想法,0.1442749458495652,1
鼓励,0.14062577685152175,1
集体,0.13898992548369565,1
充满,0.13823901200195654,1
一批,0.13754666063543478,1
故事,0.13305162095804346,1
毕竟,0.13136543679652174,1
愿意,0.12829718345065216,1
作品,0.12784923603434784,1
艺术,0.12771378930043478,1
创造,0.12685679224086957,1
人物,0.12587500900869567,1
任何,0.11053403817782609,1
今天,0.10852431036586957,1
一下,0.10628861179608695,1
组织,0.10587351971565218,1
觉得,0.10497630282304347,1
还有,0.08755759362869565,1
重要,0.08723834464260868,1
还是,0.08661786869913043,1
没有,0.06767007750326086,1
一个,0.061251108089782604,1
