词语,权重,词频
好看,0.16579070901795637,11
一星,0.12868613331666667,6
演员,0.08437182205309525,6
爷爷,0.07271621715912699,5
呵呵,0.06956253345182539,4
眼线,0.06623862458154763,3
豆瓣,0.06623862458154763,3
电影,0.06605039413869047,5
为什么,0.0629371522872619,6
主席,0.057330359452480155,5
真的,0.055890300638591274,5
负分,0.05516141925396826,2
朱毛,0.05516141925396826,2
恩来,0.04966025115436508,2
题材,0.049148540636031746,4
垃圾,0.04755881552345238,3
别拍,0.04743955358293651,2
sb,0.04743955358293651,2
吐槽,0.04743955358293651,2
唐国强,0.046909667104365074,2
历史,0.045667089019345235,5
毛主席,0.04555139748494048,3
没话说,0.04369169005595238,2
看过,0.043571657825535716,3
毛泽东,0.04272647534,3
双眼皮,0.04128638924801587,2
剧组,0.04062347621349207,2
不爽,0.04062347621349207,2
政教,0.03859639040507937,2
主旋律,0.0378728921638492,2
这么,0.03739496212230159,4
广电,0.036655708562936505,2
票房,0.035637685421230164,2
只有,0.03466120789904762,4
时候,0.03403766931301587,4
用心,0.03199582224130952,2
这种,0.03151151430357143,4
打个,0.030321810269484127,2
不要,0.02912466178630952,3
满篇,0.02758070962698413,1
怎么,0.026307281879642853,3
古月,0.026205417601984127,1
偶像剧,0.026205417601984127,1
红色,0.026159265295396826,2
太神,0.025400923339880952,1
释小龙,0.025400923339880952,1
主动,0.02514459990797619,2
赶紧,0.025038990191626986,2
上妆,0.02483012557718254,1
血泪史,0.02483012557718254,1
