词语,权重,词频
偏见,0.1749122587414778,4
点发,0.13695248918226602,2
历史,0.13605643073349755,6
主旋律,0.0940292495102463,2
马云,0.09158135434472905,2
良心,0.08088983445960592,2
抵消,0.07993872187793104,2
之作,0.0790991119458128,2
精彩,0.07835115923940887,2
了解,0.07531999137280787,3
建国,0.0751136370702463,2
好看,0.07483969309901478,2
非常,0.07246231043852217,3
思考,0.07159959821379311,2
一颗,0.06742503123428571,2
电影,0.0655948741791133,2
雷军,0.06506172646009853,1
红色,0.06494714142305419,2
释小龙,0.06306436139556651,1
绝不放弃,0.06164720832955665,1
五毛,0.06054797901231527,1
攻击者,0.06054797901231527,1
串接,0.05964984326453202,1
值得,0.059286781287389165,2
12,0.058890480309852215,1
1929,0.058890480309852215,1
好臘肉,0.058890480309852215,1
评者,0.058890480309852215,1
马云版,0.058890480309852215,1
可忘,0.058890480309852215,1
黑五类,0.0576524782,1
巧思,0.057133460881773394,1
完人,0.057133460881773394,1
教育,0.05594475446403941,2
和和气气,0.05547596217931035,1
意义,0.055171435380492614,2
字幕,0.05513609581724138,1
桥段,0.05481817206748769,1
古田会议,0.05481817206748769,1
热爱祖国,0.05423796006945813,1
没理由,0.05423796006945813,1
精当,0.05423796006945813,1
人民武装,0.05347859711477832,1
开篇,0.05282080700295566,1
不容许,0.05261971343399014,1
像不像,0.05206144404827586,1
耳目一新,0.051105010479802954,1
政治,0.05059944273536946,2
三颗,0.049011989819655176,1
样板,0.04891815634689655,1
