词语,权重,词频
历史,0.11103298668904524,24
故事,0.09226695322718592,15
电影,0.08698737334607036,13
咆哮,0.08090819633098492,9
无声,0.07293118074702512,9
中条山,0.06922778139699498,7
烂片,0.0663694998562814,5
豆瓣,0.055920044872864325,5
抗战,0.05139123614680402,7
篡改,0.05009473376507538,5
题材,0.049790682372984923,8
页面,0.04903287902301507,5
800,0.04805936684582914,4
李老师,0.04752255722733668,4
片子,0.0467110927939196,5
不是,0.041897398569145726,11
日本,0.040250408170291456,8
海报,0.03999772435533669,4
国军,0.038745719698211056,4
黄河,0.03777241531380904,6
剧情,0.036737703385648246,4
导演,0.036211636147989945,5
冷娃,0.036044525134371855,3
八百壮士,0.036044525134371855,3
跳崖,0.036044525134371855,3
18,0.036044525134371855,3
80,0.036044525134371855,3
17,0.036044525134371855,3
无耻,0.03518867608104523,4
那段,0.03518867608104523,4
偷换,0.03395463413788945,3
但是,0.03355681602476382,8
这么,0.033148097077256286,7
之战,0.03081128869053266,4
了解,0.030733584419457283,6
路军,0.029829179296703517,3
影片,0.02930105172719598,4
八路,0.028446541306492466,3
国产片,0.027941060607035176,2
视角,0.027476942439768844,3
悲壮,0.027012166520713567,3
大视野,0.02654779994251256,2
讲述,0.024426889439758792,3
神奇,0.024122955673537685,3
八女,0.02402968342291457,2
李宗翰,0.02402968342291457,2
已經,0.02402968342291457,2
刘芸,0.02402968342291457,2
李立群,0.02402968342291457,2
900,0.02402968342291457,2
