词语,权重,词频
动画版,0.28959745108333335,1
历史,0.287702660821875,3
静帧,0.24905765631041665,1
既视感,0.24905765631041665,1
先烈,0.23317973856041666,1
稍差,0.22718636205,1
代入,0.22427465491666665,1
配音,0.21613160682083332,1
历史事实,0.2138144060875,1
动画,0.20983408865625,1
配乐,0.20536721633625,1
来看,0.201468643825,2
连贯,0.19804642702708333,1
辱骂,0.19429097236395834,1
画风,0.18851348725124997,1
风采,0.18787241102895832,1
教科书,0.18649828670000002,1
那段,0.18235798281583335,1
借机,0.17648608381291667,1
交待,0.17191048778770834,1
人性,0.17035609479208333,1
导向,0.16395817482729166,1
毛主席,0.15942989119729167,1
这部,0.15732372209583334,1
过多,0.152791775461875,1
影片,0.15184659619041666,1
印象,0.14897388454562502,1
客观,0.14482875895125,1
深刻,0.140805022443125,1
电影,0.13870582769125,1
不错,0.12892153786875,1
符合,0.12785898465104167,1
理解,0.12590799556395835,1
事件,0.11867248403812501,1
清楚,0.11769865651854167,1
个人,0.11204787362229167,1
整体,0.11110378079979166,1
政治,0.10699673828416667,1
整个,0.10617713819208334,1
有些,0.09721516307375,1
明显,0.09665925345166666,1
因为,0.08434121117104167,1
通过,0.08405159758812501,1
可以,0.07302331775333333,1
没有,0.06485049094062499,1
