词语,权重,词频
一星,0.22453248187002967,7
片子,0.16549864924611274,6
水军,0.10328997769388723,4
零分,0.096228206515727,3
负分,0.08249660327596439,2
电影,0.07902527868462908,4
不错,0.0734508465008902,4
豆瓣,0.06604207079940654,2
雷锋,0.06388832899703263,2
动画片,0.059647062613056384,2
拍得,0.05916232652373888,2
就是,0.053385446702373884,5
呵呵,0.052017087328961424,2
委员长,0.051388312385281895,2
清新,0.04897153361311573,2
评分,0.04792093498278932,2
垃圾,0.047417691441780416,2
哈哈,0.04677794918385757,2
恶心,0.046593140633471815,2
这个,0.0423421377389911,4
烂片,0.03919148507833828,1
太烂,0.03919148507833828,1
原画,0.03798832452017804,1
勤奋努力,0.03798832452017804,1
尊重事实,0.037134668518991096,1
够格,0.037134668518991096,1
成王败寇,0.037134668518991096,1
能吃能喝,0.037134668518991096,1
打一星,0.03547408754569733,1
不谢,0.03547408754569733,1
庞家,0.03547408754569733,1
......,0.03547408754569733,1
人生目标,0.03547408754569733,1
不報,0.03547408754569733,1
時候,0.03547408754569733,1
小图,0.03547408754569733,1
辣鸡,0.03547408754569733,1
Undying,0.03547408754569733,1
出肉装,0.03547408754569733,1
很无解,0.03547408754569733,1
大招,0.03547408754569733,1
团战,0.03547408754569733,1
讲真,0.03547408754569733,1
负星,0.03547408754569733,1
修个,0.03547408754569733,1
脑残,0.03547408754569733,1
TCIBIC,0.03547408754569733,1
.........,0.03547408754569733,1
毛赢,0.03547408754569733,1
爱看不看,0.03547408754569733,1
