词语,权重,词频
洗脑,0.2359567152137097,5
你们,0.1335319667878226,7
良心,0.09931836529415322,3
动画,0.08122609883467742,2
历史,0.07424584795403226,4
写实,0.07092525950064517,2
跳出,0.06793721048419356,2
还原,0.06294236362532259,2
红军,0.0615297517751613,2
很多,0.05876954843770162,3
什么,0.0575306823532258,4
一颗,0.0551906505667742,2
电影,0.053692578461129035,2
人设,0.05325617125564516,1
掩盖真相,0.05325617125564516,1
恩来,0.05046122294717742,1
动画电影,0.0495614505625,1
喷子,0.04820470767298387,1
片尾,0.04820470767298387,1
泽东受,0.04820470767298387,1
层层包围,0.04820470767298387,1
棋下活,0.04820470767298387,1
超燃,0.04820470767298387,1
郁可,0.04820470767298387,1
画质,0.04820470767298387,1
yy,0.04820470767298387,1
打一星,0.04820470767298387,1
长评,0.04820470767298387,1
萌萌,0.04820470767298387,1
会带,0.04820470767298387,1
人会,0.04820470767298387,1
风格,0.04795690777983871,2
艺术,0.04737769603080645,2
神来之笔,0.04719134304274194,1
商业片,0.04719134304274194,1
凭良心,0.04719134304274194,1
敌人,0.04713105551975807,2
列席会议,0.04570858183266129,1
满盘,0.04487132632943549,1
革命,0.04463713925967742,2
渡赤水,0.04462687220927419,1
看看,0.04363261808177419,2
一星,0.04358723870403226,1
就是,0.04352636017427419,3
说说看,0.043407997725806446,1
连环画,0.04233661399314516,1
对白,0.04207637802096774,1
自作自受,0.04195229875201613,1
葬送,0.04183192390080645,1
真相大白,0.04149096669072581,1
