词语,权重,词频
电影,0.13633883404464164,12
烂片,0.11269223951706485,5
...,0.10200313569027303,5
大会,0.0841314041541297,8
页面,0.08325548571313993,5
呵呵,0.07478565883046075,5
负分,0.07116387876450511,3
红军,0.05207978989843004,4
题材,0.04227109979617748,4
长征,0.04111628364593856,3
垃圾,0.04090382768569966,3
特型,0.040345515734812286,2
爱国,0.03945190577237201,3
好看,0.03888854359837884,3
这部,0.03865975423515359,3
影片,0.0373138393368942,3
一星,0.03689295289624574,2
就是,0.036841424311331056,6
演员,0.036282763067201365,3
可以,0.03588859302552901,6
两条,0.035368163265665525,3
打分,0.03530829211774744,2
海报,0.03395711240064847,2
好好,0.033286133327098975,3
比较,0.03257176982047782,4
故事,0.03133297558397611,3
虚构,0.030650842068771333,2
不看,0.029534653856040958,2
感觉,0.028881288170529013,3
余地,0.028079707797952217,2
一分,0.028056331204641637,2
祖父,0.028021563814505122,2
不能,0.027236620030716724,4
其实,0.02625052577129693,3
线索,0.02567901264191126,2
那些,0.024604530146109214,3
这方面,0.02422243138010239,2
你们,0.024219352337918092,3
试图,0.024143796684027302,2
这么,0.024121664986740614,3
经典,0.02409966284556314,2
满屏,0.023721292921501706,1
红片,0.023721292921501706,1
节奏,0.023287302383651877,2
评论,0.023129709442901023,2
简直,0.022593789954232082,2
片头,0.02253844790341297,1
系列,0.022373081268122867,2
宣传,0.022301134824744027,2
相似,0.022069693753720136,2
