词语,权重,词频
电影,0.13481687925130842,13
烂片,0.10286238684890966,5
...,0.09310566591043612,5
呵呵,0.08191475901803738,6
负分,0.06495643762616822,3
这部,0.058812606390965735,5
长征,0.05003975538218068,4
垃圾,0.04978119008062305,4
红军,0.04753700448672898,4
题材,0.038583901060062306,4
特型,0.03682628071744548,2
爱国,0.036010618041448596,3
好看,0.0354963964932243,3
浮夸,0.03466694370623053,2
影片,0.03405904961280373,3
一星,0.03367487600809969,2
就是,0.03362784212841122,6
演员,0.033117911460093456,3
可以,0.03275812385196262,6
剪辑,0.03270866127819314,2
两条,0.03228308983439252,3
打分,0.03222844109190031,2
海报,0.030995121287819317,2
好好,0.03038266998392523,3
比较,0.029730618558878506,4
片子,0.02895796718376947,2
大会,0.028797314739672897,3
故事,0.028599881140514018,3
虚构,0.027977248368068537,2
棉袄,0.027341787141962618,2
不看,0.026958422367040498,2
感觉,0.02636204808088785,3
余地,0.025630387491588785,2
三星,0.025630387491588785,2
一分,0.025609049978068534,2
祖父,0.025577315257476637,2
不能,0.024860840090342676,4
其实,0.023960760283457942,3
线索,0.023439098766604362,2
那些,0.022458340600654207,3
观看,0.022365270875981308,2
这方面,0.022109571322024922,2
你们,0.022106760856728972,3
试图,0.02203779572716511,2
这么,0.022017594520607475,3
经典,0.02199751156931464,2
满屏,0.021652145875389408,1
红片,0.021652145875389408,1
历史,0.02151047931378505,3
节奏,0.021256011210000002,2
