词语,权重,词频
作弊,0.14583453667060373,37
女主,0.09559990006317472,20
结尾,0.06892239679277488,19
青春片,0.06865169777217113,13
考试,0.06837035479329069,23
电影,0.06389008936438226,24
男主,0.06213993504106356,13
天才,0.04718020699568173,14
泰国,0.04211727703203518,14
节奏,0.040922708507057176,15
黑化,0.03823996002526989,8
枪手,0.03580364070392243,9
剪辑,0.03358490290379848,8
谍战,0.033459965022111154,7
好看,0.030372766291683326,10
正确,0.028508942207684927,11
最后,0.027927923219832066,15
紧张,0.02665321199621351,11
导演,0.025931643479028387,9
一部,0.025893306238104756,10
紧张感,0.024208153104158338,5
演技,0.024111627469732107,6
非常,0.02352634789127549,12
页面,0.023408739525581763,6
类型,0.022849940705677727,10
教育,0.022704488516993204,10
强行,0.02240090623365854,7
拍成,0.021128494885645742,5
bank,0.019119980012634943,4
班克,0.019119980012634943,4
考场,0.019054837663954417,5
青春,0.018950650397465015,6
聪明,0.017551106580383845,6
这样,0.016853190989440225,11
悬疑片,0.016674143524990005,3
人生,0.01642852443680128,6
还是,0.015931315314514194,10
真是,0.01588863490707717,7
感觉,0.015789823280755698,7
结局,0.015476973737465014,5
气场,0.01501125544690124,3
没有,0.014935578881167531,12
我们,0.014915832721667334,11
故事,0.01468302574347061,6
转变,0.014678018351995201,6
长相,0.014588651193698522,4
就是,0.01438696164630148,10
政治,0.014374611780679728,7
学霸,0.014339985009476208,3
剧透,0.014339985009476208,3
