词语,权重,词频
陈凯歌,0.14094643707634544,30
大唐,0.08350434063539423,24
电影,0.07221730202698373,26
妖猫,0.059848648324906134,12
幻术,0.05838439076679182,13
杨贵妃,0.058111003365648735,14
白龙,0.053090567138923656,12
盛唐,0.05046818999746349,13
李白,0.045418592814367956,12
盛世,0.04436577237372132,13
少年,0.041569851614176055,14
染谷,0.039899098883270756,8
无极,0.03981792535419274,9
极乐,0.03853476154768461,9
空海,0.0369377198428035,8
导演,0.036075672557947434,12
故事,0.03574686854275344,14
之宴,0.03491171152286191,7
阿部宽,0.03491171152286191,7
白居易,0.030360138864380475,8
黄轩,0.029924324162453067,6
贵妃,0.029692887262511472,8
黑猫,0.028787394530237796,7
真的,0.028203966479949938,12
原著,0.025439319233291614,6
刘昊然,0.024936936802044223,5
一个,0.024684426539311636,21
华丽,0.023615281535690445,7
实景,0.02274707004255319,5
就是,0.022516765380100126,15
气象,0.022275596377976634,7
这部,0.022052887202419692,7
悬疑,0.021354017534000836,5
日本,0.020885041786316227,10
拍出,0.020877883508343763,5
特效,0.02035365649891531,5
页面,0.02035365649891531,5
爱情,0.02000326134099708,7
张榕容,0.019949549441635378,4
张鲁一,0.019949549441635378,4
执念,0.019949549441635378,4
杨玉环,0.01935434719899875,4
美术,0.019005204531839803,6
唐朝,0.01898251055126408,6
疯魔,0.01879285827684606,4
黄鹤,0.018373476669336673,4
没有,0.018180863542803502,14
奇幻,0.017893406460742594,4
最好,0.016877956140717562,7
割裂,0.016420917215569462,4
