词语,权重,词频
演技,0.17704985408631826,30
赵丽颖,0.17549570614944215,25
张翰,0.12027777205684087,16
电影,0.10555651948788022,27
剧情,0.1019562951417616,19
郭富城,0.10131634508984146,15
密战,0.09125776719770992,13
神剧,0.07019828245977686,10
不错,0.0654070515082795,18
演员,0.05826263225745156,14
角色,0.05772925224399295,14
张蓝心,0.056158625967821486,8
天王,0.04755466398473282,10
任达华,0.04266207228197299,6
抗日,0.03358579534017616,8
电波,0.0319637014022431,6
剪辑,0.030826424751321194,5
到位,0.03045782667192601,7
真的,0.02977315369308867,9
永不,0.02946568426879624,6
电视剧,0.029397003841268345,6
页面,0.028648100192542568,5
朱一龙,0.028079312983910743,4
大长,0.028079312983910743,4
谍战,0.028079312983910743,4
林翔,0.028079312983910743,4
消逝,0.027038548942307693,5
简单,0.026391988952436878,8
先烈,0.02628920129395185,4
故事,0.025157147356717556,7
惊艳,0.024367157081385787,4
配音,0.024367157081385787,4
烂片,0.023266348452260714,3
一部,0.022815910358719903,6
观众,0.02159520843112155,5
酷刑,0.02150498067788608,4
努力,0.021219851974280682,6
打戏,0.021059484737933058,3
王苹,0.021059484737933058,3
出戏,0.021059484737933058,3
阿徐,0.021059484737933058,3
颖宝,0.021059484737933058,3
什么,0.020944816828537875,10
影帝,0.02061676994938344,3
没有,0.020106317801908396,11
节奏,0.02003282324841456,5
感觉,0.019876024507257783,6
觉得,0.019848719617745154,7
就是,0.019015626523581915,9
还是,0.018717190652542574,8
