词语,权重,词频
皮克斯,0.19741981627736008,34
亡灵,0.09717583335254804,25
故事,0.0792529705456015,31
电影,0.07508886912609024,27
动画,0.058900796815789476,14
世界,0.05290658010088972,29
梦想,0.0485593664381579,15
煽情,0.046483245320384295,10
套路,0.04031822226370092,10
设定,0.036968113211140345,11
亲情,0.03573770111766918,9
墨西哥,0.03518922232736842,11
死亡,0.0339676856237051,13
家庭,0.03377739550637427,14
寻梦,0.033101580128822056,6
感动,0.03261023238850042,11
记忆,0.031166780621888053,10
游记,0.030744184749139515,8
coco,0.029961823315538847,6
还是,0.02995805985082707,18
遗忘,0.029914512152380956,8
音乐,0.027692853440643275,10
最后,0.027231086149239764,14
催泪,0.024968186096282374,5
情感,0.024896264761336676,8
一部,0.024345548459210525,9
一个,0.023538437528237255,20
家人,0.023401746729657478,8
冥界,0.02206772008588137,4
头脑,0.02198497553967836,7
真的,0.02117948234725564,9
特工队,0.020909579433416876,4
这个,0.02086155031877193,14
页面,0.020379162334126982,5
Coco,0.019974548877025898,4
这样,0.01920703151724311,12
文化,0.01913167445048872,9
剧情,0.019086265073475356,5
结尾,0.018948128476754388,5
这部,0.018926162056641604,6
迪士尼,0.018887034824862155,6
励志,0.018701131914619883,4
想念,0.018609534388471176,5
叙事,0.01805175914776525,5
就是,0.018035985502456144,12
成功,0.017724708120902256,8
角色,0.017599877653333332,6
水准,0.01757702739868421,5
惊艳,0.017333863203675855,4
纸巾,0.017104621563575607,4
