词语,权重,词频
段奕宏,0.18122436841182415,30
老段,0.09061218420591208,15
暴雪,0.07120305165170289,16
引爆,0.06600091562220818,15
剧情,0.060030595413511884,13
电影,0.057192498936867106,17
演员,0.05371828993779687,15
演技,0.05078590222486104,10
知道,0.048195353693784734,24
有点,0.04809146112718545,17
台词,0.04672419050944922,10
故事,0.04329724299998989,14
角色,0.04258120980503284,12
王景春,0.042285685962758966,7
表演,0.04203230282140474,12
类型,0.040427883975169276,14
配乐,0.03984891918803436,8
最后,0.03764742380208186,16
片子,0.03757658399591712,8
犯罪,0.03640042144674078,10
逻辑,0.035557727440727646,10
男主,0.03020406140197069,5
影帝,0.029569108323900962,5
人物,0.029258465964628604,10
导演,0.029130330847700857,8
爆炸,0.02892548277914098,8
感觉,0.028506711921728146,10
结尾,0.027505903733208693,6
剧本,0.027151508114653868,7
不错,0.025015599060939867,8
人性,0.024791589338110154,6
页面,0.02465271077710965,5
盲井,0.024163249121576552,4
余皑磊,0.024163249121576552,4
可惜,0.02392871760214755,7
全片,0.023442329578575036,4
质感,0.02343533309421425,5
一部,0.022906220935346135,7
这部,0.022895013624861044,6
警察,0.02284246752169783,6
电影节,0.022174617666927743,5
影片,0.02209793820254674,6
剪辑,0.021221789328549772,4
国产片,0.021072275369378474,3
节奏,0.020686749666730675,6
不停,0.02046243210127337,6
模仿,0.0199081715579333,5
那句,0.018181713741364326,4
tm,0.018122436841182414,3
2017,0.018122436841182414,3
