词语,权重,词频
李易峰,0.31065256055922935,58
廖凡,0.21424314521326163,40
演技,0.11257314124439965,25
电影,0.08948763076854839,30
悬疑片,0.08719063043369175,14
心理,0.07589056735838709,27
方木,0.07215006868673834,14
剧情,0.06960329892117384,17
台词,0.04971353388075268,12
万茜,0.042848629042652325,8
推理,0.041621380780833335,11
反派,0.04142146653216846,7
节奏,0.036683761281774196,12
不错,0.03604258047943548,13
特效,0.03497327213469534,8
演员,0.03492811988219534,11
进步,0.034734037480161295,12
角色,0.03460836156831541,11
导演,0.03228546412836022,10
原著,0.03187323308060036,7
表演,0.031056573806586024,10
犯罪,0.02904694921092742,9
悬疑,0.027519129047849464,6
画像,0.027172782179233874,7
猩猩,0.027075366278225807,6
打戏,0.026780393151657703,5
哭戏,0.026780393151657703,5
谢君豪,0.026780393151657703,5
罪犯,0.026406931496599464,7
影帝,0.0262174128015233,5
感觉,0.025275440364292117,10
剧本,0.024073850608826164,7
这部,0.023683140960663082,7
还是,0.023206758728530466,13
编剧,0.023084601271317208,6
女队员,0.02294276946827957,4
天才,0.022657008006182797,6
页面,0.021858295084184586,5
邰伟,0.021424314521326163,4
知道,0.02136617494623656,12
人物,0.02075358571469534,8
一部,0.02030977205692204,7
真的,0.02019262474684588,8
尴尬,0.01985076498905914,6
觉得,0.019471411007499998,9
一星,0.019372106090681004,4
最后,0.01877627311096774,9
极差,0.018011702599103944,4
人设,0.017752057085215052,3
一个,0.017672810757087813,14
