词语,权重,词频
吴京,0.2766304010348259,28
电影,0.11829921338272922,25
战狼,0.1104562740140014,13
国产片,0.04939828589907605,5
国产,0.0491390886926226,9
虽远必,0.04248318231307746,5
一部,0.04142376902014925,9
剧情,0.0389701651052452,6
这部,0.03756984408258707,7
导演,0.03585132136044776,7
页面,0.03467499262821606,5
3D,0.03398654585046197,4
主旋律,0.033916022833297796,5
特种部队,0.03303307557210376,5
片子,0.03303307557210376,5
感觉,0.03207663561796731,8
意淫,0.03163635800909737,4
不要,0.03129814400916844,9
英雄主义,0.03004541049552239,4
做作,0.028513082135323383,4
反派,0.028161045781236675,3
就是,0.02813075350756219,11
真的,0.02802856867845771,7
观众,0.026138336857285005,5
中华,0.025630145479850746,5
票房,0.025531476122672356,4
3d,0.02548990938784648,3
装逼,0.02548990938784648,3
爷们儿,0.025205194265031983,3
呵呵,0.02491792243050462,4
水军,0.024739674827889125,4
豆瓣,0.02372726850682303,3
全程,0.02367739479687278,4
自导自演,0.023598004920895525,3
军事,0.023535501555948822,6
一星,0.023048262683582094,3
各种,0.02302497499467662,7
还有,0.02290063571809524,8
精彩,0.022608792218336886,4
打斗,0.022386951535820893,3
没有,0.022123834862473345,10
爱国,0.02190837885108742,4
中国,0.021516138497938878,10
热血沸腾,0.02142970159978678,3
配乐,0.02101839314315565,3
场面,0.02099355956199005,4
特效,0.020804995576929636,3
军旅,0.020673742073731342,3
羞耻,0.020490870385565033,3
大片,0.02022769014063966,4
