词语,权重,词频
吴京,0.17829263684564353,29
战狼,0.07931070877642635,15
电影,0.07361653835891199,25
主旋律,0.06753803679992923,16
动作,0.061376276873445386,22
动作片,0.04705489827187085,9
场面,0.04245833679216718,13
好莱坞,0.039624215963600176,10
片子,0.0370011354241088,9
中国,0.03079538955912428,23
反派,0.029207276584254753,5
主角,0.028377336278036267,8
大片,0.02832189741827952,9
镜头,0.0266482130874613,7
打戏,0.02643690292547545,5
达康,0.024592087840778418,4
就是,0.02387115728266254,15
这部,0.023379376658204335,7
无脑,0.023365821267403802,4
一部,0.02291345737337461,8
真的,0.02242533425003538,9
导演,0.02230995539767802,7
长镜头,0.0217447850322866,4
页面,0.021577936589075628,5
...,0.02114952234038036,4
全片,0.0205185184590889,4
光环,0.020325403473374616,5
剧情,0.020208986548385672,5
非洲,0.01989620076,7
尴尬,0.019596155442538697,6
第一部,0.019099928010782842,6
故事,0.018948528062136222,7
英雄主义,0.01869698919380805,4
一个,0.01869228862536488,15
强拆,0.01835350221565679,4
做作,0.017743435013003097,4
坦克,0.01764152649425918,6
片头,0.017524365950552852,3
国产,0.01698822983697479,5
张翰,0.016986375979610793,3
好看,0.01679838312593985,5
本片,0.01660466602065458,3
各种,0.0163751259581778,8
水下,0.016252979471318,5
爱国主义,0.015994454219566565,4
票房,0.015888008361167626,4
两星,0.015862141755285268,3
12,0.015862141755285268,3
high,0.015862141755285268,3
还是,0.015860149332790802,9
