词语,权重,词频
电影,0.11821312101349847,81
姚子,0.09433836696720735,36
宝山,0.07162372186940377,34
排片,0.05765122425773783,22
国军,0.057042073635052606,27
抗战,0.05444246003777729,34
战争片,0.053885312316966236,20
煽情,0.05122531072417799,21
淞沪,0.0496349120560456,24
抗日,0.0485832664783516,31
导演,0.041069488257277506,26
题材,0.040723692153485314,30
英雄,0.0372498662289018,25
守卫,0.0336381381843972,18
没有,0.03343453632011179,49
殉国,0.03310341141116177,17
会战,0.03250304890248137,18
捍卫者,0.030868636342897854,11
爱国,0.028716928635420864,17
巷战,0.028580271007080226,13
本片,0.02743179151885138,10
正面,0.026269481875528276,17
神剧,0.026205101935335377,10
壮士,0.02406072984007892,12
细节,0.02369393553304472,15
演员,0.023303045985729944,15
难得,0.023199897543084175,15
真实,0.02286864309881631,16
五星,0.0224135427720057,11
电影院,0.022342269903825075,11
但是,0.021956838192441912,24
历史,0.02118984963528058,21
致敬,0.021035976674199913,10
剪辑,0.020713573527553705,9
影院,0.020606900442021042,10
不错,0.020347108124835596,15
六百,0.020311154458022798,10
国产,0.020207130729364312,12
为了,0.02019650889859711,20
故事,0.020123984756915823,15
剧情,0.020031792453266112,10
一部,0.019873481469114423,14
瑕不掩瑜,0.01964367767275318,7
悲壮,0.019638393751359052,10
战争场面,0.01940809172801403,8
战争,0.01886643842504165,16
这么,0.018590919354094695,18
佳作,0.01850284999438185,9
还是,0.018341267243174048,21
片子,0.018338353177095573,9
