词语,权重,词频
许鞍华,0.14747592910285273,32
叶德娴,0.14747592910285273,32
周迅,0.12707232202627217,33
电影,0.0949659020738859,37
彭于,0.06912934176696221,15
建华,0.06688850525653046,21
演技,0.06586700495570548,17
故事,0.05426700654341172,23
演员,0.04917894947736315,18
久石,0.04147760506017733,9
片子,0.039418111844984574,11
明月,0.039270770702174246,12
黄金时代,0.03659968544606785,10
导演,0.03611391777750578,13
角色,0.03248581889134927,12
一部,0.03245447439165382,13
表演,0.03206704983946029,12
几时,0.02880505059245181,9
时代,0.027595332990470317,13
叙事,0.02665592067833462,8
镜头,0.026545482890516576,8
观众,0.02551964222234387,9
没有,0.02520019077415189,21
梁家辉,0.024676301779683888,5
人物,0.024553876082652273,11
队友,0.02301333986134927,6
配乐,0.022800986239336928,6
春夏,0.02195981126764071,6
鼓掌,0.021524035008111023,6
觉得,0.020477258761935235,11
连累,0.020384922089606784,6
这部,0.020378091990824982,7
还是,0.01996819023981496,13
抗战,0.01971252118969545,7
灵气,0.01949978415208173,5
电视剧,0.019299574996792596,6
小人物,0.018934348897590596,5
页面,0.018807908491865845,5
王菀,0.01843449113785659,4
最好,0.01782419247463377,8
喜欢,0.01758701126606014,8
一个,0.017378880321542018,16
真的,0.017374687137609868,8
非常,0.01701216154859676,9
这样,0.016248970957821896,11
不是,0.016070898834348497,11
动人,0.01597445941709715,5
节奏,0.015782219579976872,6
就是,0.015258276863970702,11
感觉,0.015223727072154972,7
