词语,权重,词频
古天乐,0.22952144026978166,42
吴樾,0.1499544944351092,26
打戏,0.14617182972978165,28
杀破,0.11484929478768559,22
动作,0.09089853406824891,33
反派,0.0749772472175546,13
托尼贾,0.06786549237454148,13
古仔,0.057424647393842794,11
文戏,0.053453702282401754,11
林家栋,0.04698380241314411,9
泰国,0.04599795190267249,14
这部,0.04286899676323144,13
贪狼,0.042491154394759825,7
一部,0.04241866303591703,15
张晋,0.04176337992279476,8
电影,0.0407031948508821,14
洪金宝,0.04037236388637555,7
系列,0.04007614819294324,14
演技,0.03949989976100437,9
托尼,0.03809587905117904,8
故事,0.03741713707291703,14
叶伟信,0.036542957432445414,7
好看,0.0364884355218559,11
吴京,0.03642098948122271,6
过瘾,0.033924970864454146,8
剧情,0.03192490381547598,8
精彩,0.03125492749572052,9
第二部,0.028040623944462884,7
主角,0.02801797263084716,8
宿命,0.02644720129834061,6
影帝,0.02555339099257642,5
套路,0.025289560899379917,6
三星,0.025149118206812225,7
感觉,0.024635276372532752,10
黑暗,0.024039758945886464,8
结尾,0.023770385802628823,6
还是,0.022618989293484718,13
没有,0.021748985608034933,16
页面,0.021304678876812224,5
市长,0.021148285309484715,8
两部,0.021087707874759824,6
女儿,0.02101563216146725,8
...,0.02088168996139738,4
飓风,0.020574979994541484,5
最后,0.020334129831965066,10
这个,0.020251190549620088,13
武打,0.01955044096227074,4
营救,0.01886023463552402,5
演得,0.018460215094847163,4
港片,0.018210494740611354,3
