词语,权重,词频
国军,0.1962227091901916,17
抗日,0.16268496703923352,19
残团,0.14317086829820358,10
电影,0.11960262986550899,15
神剧,0.08590252097892215,6
鬼子,0.06298116801147305,6
页面,0.05842840075197604,5
我党,0.052239259297724557,4
一星,0.05178268358610779,4
烂片,0.04745220528646706,3
国民党,0.04664580508785629,6
战争片,0.044160142776646705,3
剧情,0.043777263315832336,4
编剧,0.04113758885235928,4
这种,0.03804024720718563,8
没有,0.03727932413353293,10
其实,0.03684504934605988,6
国产,0.03680037141211976,4
好看,0.03638912023736527,4
看过,0.035066052764982036,4
主旋律,0.03428970835433533,3
最后,0.03345999328038324,6
还是,0.03340233978577246,7
那么,0.03305943116148503,6
真实,0.03123555383736527,4
题材,0.029665705964742516,4
不错,0.029644233857245506,4
马奎,0.028634173659640716,2
这么,0.02821416303838323,5
洗脑,0.028032222933173655,2
拍摄,0.0278522491834491,3
军队,0.02730725457097006,4
里面,0.027210896057676646,4
太平,0.027026053179592818,3
抗战,0.026245139418,3
正面,0.025327518770586824,3
演技,0.024073125868982036,2
一成不变,0.023296503909173653,2
还行,0.02315346382605988,2
记得,0.02303047275420359,3
儿戏,0.022953747397461075,2
不是,0.02269347391197605,5
道具,0.022288761202011974,2
片子,0.02226468854129341,2
历史,0.022051461428263475,4
正视,0.02156368347789222,2
狗日,0.02152819824249102,2
那段,0.020965708203976047,2
发现,0.020948732276886227,4
寡妇,0.020652845491616768,2
