词语,权重,词频
国军,0.19413028693579384,17
抗日,0.16095017473668247,19
电影,0.11832724637168249,15
神剧,0.08498649883578199,6
鬼子,0.06230956787864929,6
残团,0.056657665890521326,4
我党,0.05168220558483413,4
一星,0.05123049857156398,4
烂片,0.04694619835805687,3
国民党,0.04614839721369668,6
战争片,0.04368924078021327,3
剧情,0.04331044415725119,4
编剧,0.040698917881184835,4
这种,0.037634604760663506,8
没有,0.03688179579561611,10
其实,0.03645215190042654,6
国产,0.036407950389952606,4
好看,0.0360010845950237,4
看过,0.034692125662037915,4
主旋律,0.033924059805533174,3
这么,0.033495961332298575,6
最后,0.03310319240417062,6
还是,0.03304615369800948,7
那么,0.03270690168227488,6
真实,0.030902473286966825,4
题材,0.02934936549829384,4
不错,0.02932812235876777,4
脑残,0.028328832945260663,2
马奎,0.028328832945260663,2
洗脑,0.02773330112464455,2
拍摄,0.027555246526279623,3
军队,0.02701606346772512,4
里面,0.026920732474123223,4
太平,0.026737860669383884,3
抗战,0.02596527418723934,3
正面,0.025057438594123224,3
红领巾,0.024654431494075826,2
演技,0.023816421920142182,2
一成不变,0.023048081474123225,2
还行,0.022906566699952606,2
记得,0.022784887144265402,3
儿戏,0.02270897994890995,2
不是,0.022451481891587678,5
你们,0.0224210749921327,4
道具,0.02205108483848341,2
片子,0.022027268876753554,2
历史,0.02181631551255924,4
中国,0.021521237108957345,6
正视,0.021333738985829385,2
狗日,0.02129863214748815,2
