词语,权重,词频
反思,0.2751625685112903,2
从来不,0.2445712754267742,2
慢慢,0.20123257538,2
国党,0.19281883069193548,1
豆瓣,0.17948530531774196,1
弱智,0.17363199090322579,1
抹黑,0.1722871262435484,1
犯过,0.1664057857016129,1
而是,0.16629787006064517,2
抹杀,0.16553373374516128,1
很多,0.156718795833871,2
一切都在,0.15435394051112902,1
你们,0.15260796204322583,2
傀儡,0.15058595904048386,1
换个,0.14767331489693547,1
天堂,0.13721048557451612,1
受害者,0.13713733791064517,1
林立,0.13534337605403227,1
大腿,0.1332632739135484,1
功劳,0.13220798673096773,1
解放军,0.12805923084435483,1
现在,0.12754024327741936,2
军阀,0.1255967011635484,1
扮演,0.12368112315209678,1
完美,0.12097451946241936,1
必定,0.11854189220854838,1
就此,0.11587230449112904,1
牺牲,0.11295117272338709,1
想要,0.11147326429032259,1
电影,0.10738515692225807,1
不够,0.10484948604532257,1
错误,0.10471204975935484,1
台湾,0.10075336244354839,1
永远,0.10037543905580645,1
确实,0.09240904479451613,1
统一,0.08865569610758064,1
战争,0.08676279445064516,1
日本,0.08074426639,1
控制,0.07994174729564517,1
全国,0.07653744497306453,1
这么,0.07599621334532258,1
历史,0.07424584795403226,1
政府,0.07369791535516129,1
发现,0.07053303004516129,1
虽然,0.06893758186064515,1
美国,0.06704187470419355,1
国家,0.06452331277677419,1
如果,0.06396979958048388,1
问题,0.06392763827548388,1
成为,0.06239711288129032,1
