词语,权重,词频
一星,0.20438385879705884,9
电影,0.16784570745831934,12
看过,0.1230258573897479,8
洗脑,0.09834834516470589,4
片子,0.09764188514695377,5
烂片,0.08324073826512605,3
打一星,0.07534517333760504,3
剧情简介,0.07534517333760504,3
渡江,0.07054912702554622,4
打分,0.0652016570829832,3
内战,0.06307072314168068,4
南京,0.061710444409873944,5
负分,0.05840620862184874,2
就是,0.0529143986432353,7
尼玛,0.05258144239873949,2
一分,0.051809905732941176,3
垃圾,0.05035639290718488,3
吐槽,0.05023011555840336,2
so,0.05023011555840336,2
easy,0.05023011555840336,2
读奖,0.05023011555840336,2
辣鸡,0.05023011555840336,2
拍电影,0.046756676175210087,2
豆瓣,0.046756676175210087,2
凑个,0.045819098228571435,2
喜闻乐见,0.04561409753907563,2
这种,0.041706415990021006,5
国民党,0.040913074840714284,3
主旋律,0.04010070934995798,2
酱油,0.03964188879546219,2
题材,0.0390297234462605,3
不了,0.03805575916859244,3
怎么,0.03713969206537815,4
鬼子,0.036827223592142855,2
无耻,0.03677808056789916,2
侮辱,0.03593937025739496,2
不死,0.03555713589516807,2
土匪,0.03470071672705882,2
评分,0.03392721657394958,2
解放军,0.033359967698949576,2
恶心,0.0329871604905042,2
大爷,0.03292811950962185,2
呕吐,0.03287954462558824,2
打个,0.032105446167689074,2
好看,0.031916927939285716,2
悲剧,0.0317586396355042,2
不要,0.030837877185504195,3
大家,0.03070272799834034,3
不能不,0.030361833025882353,2
抗日,0.030040236063193275,2
