词语,权重,词频
渡江,0.21948617296836603,4
电影,0.1740622151419608,4
关怀,0.1124491540579085,2
坏人,0.11067915880287582,2
千里,0.10306562735006536,2
好人,0.10176190230705882,2
内战,0.09811001377594772,2
好片,0.08632372857124183,1
瑞恩,0.08632372857124183,1
读后感,0.08632372857124183,1
迟浩田,0.08033490025816993,1
小屁孩,0.08033490025816993,1
TG,0.07813573531307189,1
不黑,0.07813573531307189,1
装逼狗,0.07813573531307189,1
打一星,0.07813573531307189,1
我要,0.07813573531307189,1
八十五,0.07813573531307189,1
原副,0.07813573531307189,1
王济生,0.07813573531307189,1
所著,0.07813573531307189,1
血火,0.07813573531307189,1
2B,0.07813573531307189,1
描绘出来,0.07813573531307189,1
窝里斗,0.07813573531307189,1
第十八次,0.0772629811130719,1
气势恢宏,0.0764931573503268,1
三座大山,0.07580452652941176,1
喜欢,0.0745436392551634,2
真人真事,0.07360536158431373,1
豆瓣,0.07273260738366014,1
绝世,0.07160940309019607,1
影评,0.07036067605228757,1
比比,0.06884563282352942,1
可以,0.0687278284737255,3
雄风,0.06800111170261437,1
到哪去,0.06420353077169935,1
南北战争,0.0635705253730719,1
军旅,0.06337245119333333,1
智商,0.06290203616313725,1
你们,0.06184113494562092,2
该片,0.061665160348496735,1
没有,0.06103575617941176,3
建军,0.060820639227712414,1
五分,0.05961800103830066,1
中国,0.05935922915019608,3
根据,0.05755039488627451,2
宏大,0.0574819096606536,1
残暴,0.05728679225444444,1
委员长,0.05659431788836601,1
