词语,权重,词频
林超贤,0.12221416592184015,22
主旋律,0.11087324378822026,25
彭于,0.08888302976133829,16
电影,0.074251446793829,24
缉毒,0.06752184860241636,12
导演,0.06362276778603625,19
动作,0.058622745019795544,20
枪战,0.054384075625464684,10
警匪片,0.05167538160594796,8
卧槽,0.05167538160594796,8
湄公河,0.05105724958738383,11
文戏,0.046539405375139405,9
张涵予,0.04444151488066914,8
场面,0.04117742328585502,12
哮天,0.03333113616050186,6
大片,0.03306268590599443,10
动作片,0.032958836738754646,6
吸毒,0.03184415730232342,7
毒枭,0.029744575658224907,5
香港,0.029708770591868033,11
好看,0.028238768957434945,8
水准,0.027375076686538102,7
金三角,0.02672579549070632,5
不错,0.02588016001826208,9
国庆,0.025706452915762082,8
故事,0.025596362024456316,9
娃娃兵,0.024549313143866172,4
真实,0.024239486481598512,8
镜头,0.02399825137709108,6
隔壁,0.022910124213680293,6
页面,0.022670871109618955,5
毒品,0.022296962264800185,5
涵予,0.02222075744033457,4
超贤,0.02222075744033457,4
节奏,0.022194357429772306,7
尺度,0.022187392965195167,6
片子,0.02159736864774628,5
行动,0.021404244020594796,8
剧本,0.02140181939414498,6
票房,0.02086593105518123,5
四星,0.02009225873345725,4
一星,0.02009225873345725,4
中国,0.019694465433661712,14
剪辑,0.019515762584200742,4
港片,0.019378268102230485,3
硬汉,0.019176874932156134,4
演技,0.018681282621375465,4
拍出,0.01860382407788104,4
烂片,0.01841198485789963,3
毒贩,0.01841198485789963,3
