词语,权重,词频
豆瓣,0.1734247625407792,6
电影,0.17293194101766235,10
最低,0.14586127643244157,9
一星,0.14038487270909092,5
看过,0.11407852230685715,6
打分,0.1074839437974026,4
垃圾,0.10376468841480521,5
烂片,0.10291582185506493,3
哈哈,0.10236473295428572,5
尼玛,0.09751467499402597,3
队形,0.09733068216955844,4
洗脑,0.09119573824363636,3
呵呵,0.09106368015511689,4
湘南,0.07752805662381819,3
哈哈哈,0.07681267312316882,3
镜头,0.06707043761493506,3
说好,0.06405588345163636,3
保持,0.06306695798298702,5
功与名,0.062102688326753246,2
星是,0.062102688326753246,2
看多,0.062102688326753246,2
这部,0.05884315839428572,3
这个,0.055594676953402596,6
污蔑,0.05528613565714286,2
膜拜,0.05345329734701299,2
哈哈哈哈,0.050368753416,2
深藏,0.04883567782675325,2
五星,0.04828835047267532,2
围观,0.04594510050197403,2
放手,0.044713625076623374,2
解释,0.044515497726857145,3
革命,0.04312991118077922,3
评分,0.041946376855064936,2
说明,0.04194455564018182,3
反动,0.04116533372820779,2
恶心,0.040784125697350654,2
这片,0.039855411160415584,2
造反,0.03981458733387013,2
那些,0.03745001211849351,3
导演,0.03743436671922078,2
文青,0.03610565623896104,1
一直,0.035505241031454554,3
流水账,0.03430527395168831,1
挑战,0.034248336993298704,2
拉下去,0.03325211782675325,1
本片,0.03250489166467532,1
宜章,0.03250489166467532,1
闻风而来,0.03250489166467532,1
前来,0.032497445750753244,2
低分,0.03192529802467532,1
