词语,权重,词频
豆瓣,0.1747867371157068,3
历史,0.14460447873769633,6
电影,0.13943203621319372,4
很棒,0.1165244914104712,2
革命,0.11591634069528796,4
湘南,0.10418255427633509,2
最低,0.09800452255931937,3
五分,0.09551365611371729,2
好不好,0.086934614586178,2
一分,0.08607858683727748,2
刻画,0.08263732425685864,2
看过,0.07664961795486912,2
影片,0.07632080227371728,2
你们,0.07430649460743455,3
强推,0.07277841702617802,1
上来,0.06636645450523561,2
起义,0.06631219943989529,2
网上,0.06446186222638743,2
都化,0.06259040577434555,1
10,0.06259040577434555,1
分是,0.06259040577434555,1
文青们,0.06259040577434555,1
装逼,0.06259040577434555,1
打一星,0.06259040577434555,1
我要,0.06259040577434555,1
这群,0.06259040577434555,1
群众演员,0.06072299769109948,1
燎原之势,0.059349362798429325,1
意义,0.05863770357193718,2
星星之火,0.05860014372198953,1
假正经,0.0582622457052356,1
忘本,0.05794483930837696,1
一星,0.05659494868376964,1
重大,0.05658524890408377,2
力荐,0.055925664016230364,1
领导,0.05504187904513089,2
鲜为人知,0.05431579647853403,1
影视剧,0.05320946614502618,1
跌宕起伏,0.052091277138167545,1
一下,0.05119660882324607,2
澎湃,0.04983586920052356,1
拉拉,0.049336863023560204,1
队形,0.04904752962732984,1
最起码,0.048991533349267015,1
热血,0.048720197915392664,1
片子,0.048667578355968584,1
五星,0.048667578355968584,1
进水,0.048563899679005235,1
陈毅,0.04826464096780105,1
低潮,0.047935840437748685,1
