词语,权重,词频
大鹏,0.18054844401736528,30
范伟,0.11453669463856286,16
父子,0.10554106772435928,24
喜剧,0.08917066927498203,18
乔杉,0.08590252097892215,12
电影,0.0837218409058563,21
雄兵,0.07704879392766466,12
搞笑,0.07568897117604792,12
故事,0.06963300402235328,19
煎饼,0.06915825327742514,11
煽情,0.06663526305209581,10
魂斗罗,0.05010980390437125,7
老兵,0.04864031314905988,9
张天爱,0.042951260489461074,6
段子,0.04139358187346108,7
屌丝,0.035792717074550895,5
尴尬,0.03537477641164072,8
澳门,0.035276146724209576,7
角色,0.03364000567032335,8
一部,0.031022351569580837,8
观众,0.030830716132622758,7
转折,0.030312021007005988,6
页面,0.02921420037598802,5
亲情,0.028461761967964076,5
结尾,0.027162766211586822,5
这部,0.027131276624910182,6
广告,0.026488813416826348,6
植入,0.023409684471688622,4
老师,0.02289852119497006,6
缝纫机,0.022829292932958083,4
温情,0.022682301444622754,4
片子,0.02226468854129341,4
小品,0.022080350718203592,4
一个,0.02193303151957485,13
好烂,0.021475630244730537,3
笑点,0.021475630244730537,3
葬礼,0.021261789535640715,4
没有,0.02050362827344311,11
看到,0.020391417995778444,7
感觉,0.02026878427297006,6
真的,0.0202409903151018,6
乐队,0.020060418473868264,4
拍电影,0.01999057891562874,3
一星,0.01941850634479042,3
就是,0.01939138441297006,9
莫名其妙,0.019243615796502994,4
强行,0.019170116848718565,4
复制,0.018950218527161677,4
不错,0.01852764616077844,5
演技,0.018054844401736526,3
