词语,权重,词频
狼兵,0.17776605952267657,8
预告片,0.17578046260669145,8
电影,0.16087813471996282,13
一星,0.1205535524007435,6
神剧,0.11110378720167285,5
负分,0.10335076321189592,4
鬼子,0.0977495823226394,6
抗日,0.09302422542988847,7
页面,0.09068348443847582,5
谢苗,0.08888302976133829,4
文山,0.07329090248431226,4
片子,0.0691115796727881,4
中共,0.06778835934739777,5
人民政府,0.05804541176156134,4
摄制,0.053902813089479557,3
电视剧,0.04652704232498141,3
童星,0.04501456573494424,2
电影频道,0.04501456573494424,2
那颗星,0.04501456573494424,2
文山州,0.04444151488066914,2
砚山县,0.04444151488066914,2
名雅,0.04444151488066914,2
德凯,0.04444151488066914,2
不谢,0.04444151488066914,2
拍个,0.04444151488066914,2
男神,0.04444151488066914,2
CCTV6,0.04444151488066914,2
百灵鸟,0.04350726050037175,2
历史,0.042781064806226766,5
武打,0.0416082804866171,2
广告,0.04111182008001859,3
影业,0.04093050518252788,2
狙击手,0.03915755324163569,2
有限公司,0.03861480214817844,4
疯狂,0.03739958271513011,3
简直,0.036914389163141256,3
哈哈哈,0.03664545124215613,2
飞天,0.03470754446286245,2
云南白药,0.034304270697063204,2
祸害,0.03403622871230483,2
出品,0.033252232692825276,2
一样,0.032918873413308555,4
县委,0.03243318929144982,2
无聊,0.03190541880345725,2
影视,0.03174492745825279,2
一边,0.0317090143333829,3
童年,0.03109049585486989,2
开枪,0.030471729283717473,2
不能,0.029666653044609664,4
爱国,0.028647852270892192,2
