词语,权重,词频
电影,0.18772217281522557,15
预告片,0.17776294902706766,8
神剧,0.11235683743327066,5
负分,0.10451637332330828,4
一星,0.1015943157763158,5
鬼子,0.09885202122101504,6
抗日,0.08063431785383458,6
文山,0.07411749161007518,4
中共,0.06855288971597745,5
谢苗,0.0674141024599624,3
电视剧,0.06273571120511277,4
人民政府,0.05870005926263158,4
摄制,0.05451073955289473,3
片子,0.05241827518415414,3
历史,0.05191626962199248,6
童星,0.04552224880714286,2
电影频道,0.04552224880714286,2
那颗星,0.04552224880714286,2
文山州,0.044942734973308265,2
砚山县,0.044942734973308265,2
名雅,0.044942734973308265,2
德凯,0.044942734973308265,2
不谢,0.044942734973308265,2
拍个,0.044942734973308265,2
男神,0.044942734973308265,2
CCTV6,0.044942734973308265,2
狼兵,0.044942734973308265,2
百灵鸟,0.04399794388947369,2
武打,0.04207754680789474,2
广告,0.0415754872237782,3
影业,0.04139212742142857,2
狙击手,0.03959917978195489,2
有限公司,0.03905030743556391,4
疯狂,0.03782138252018797,3
简直,0.037330716860469924,3
哈哈哈,0.03705874580503759,2
飞天,0.03509898293424812,2
云南白药,0.03469116096808271,2
祸害,0.03442009595342105,2
出品,0.033627257873571424,2
一样,0.03329013890293233,4
县委,0.0327989771406015,2
无聊,0.03226525435387218,2
影视,0.03210295295590226,2
一边,0.03206663479578947,3
扭曲,0.031733429089586464,2
童年,0.03144114054496241,2
开枪,0.030815395403458647,2
垃圾,0.03003714664639098,2
不能,0.030001239357142856,4
