词语,权重,词频
特工,0.07278600695272652,18
Elton,0.06429953559689697,13
John,0.05440729935122052,11
第一部,0.050623633495411664,17
续集,0.04708259226127431,11
剧情,0.045371139679834506,12
动作,0.04436604269350848,17
一部,0.04018979658760861,15
蛋蛋,0.03778492677600331,8
科林,0.03559730168659495,7
英伦,0.03464357616052958,8
反派,0.032786587847910637,6
沃恩,0.03178005468754655,6
王牌,0.030971891997385186,8
美国,0.030955205697095572,18
电影,0.030300652470409598,11
约翰,0.030235584288630532,9
马修,0.030221180076292927,7
角色,0.02905399745006206,10
梅林,0.02870577378480348,7
这部,0.028119093068018203,9
没有,0.027045632961584604,21
还是,0.026375983186826647,16
摩尔,0.02520284002688043,7
便当,0.024746839931940427,6
脸叔,0.024730590614191143,5
...,0.024730590614191143,5
导演,0.023851437628299544,8
失忆,0.02300484510053786,4
牛仔,0.02218167939925527,5
绅士,0.02205229081131982,6
好看,0.021999835311067438,7
人物,0.02156071730641291,9
埃尔顿,0.02071060536350848,4
页面,0.020185235675589573,5
设定,0.01997254215085643,6
套路,0.0199672784648945,5
爆头,0.019784472491352914,4
007,0.019784472491352914,4
阿姨,0.019357432498365742,5
就是,0.019353052710227556,13
全片,0.01919419538105089,4
前作,0.01919419538105089,4
系列,0.01898518398052131,7
真的,0.018647057689267686,8
编剧,0.017764732463653288,5
上集,0.017745343519404218,4
不如,0.017634987231448077,7
剪辑,0.017376053405544063,4
惊艳,0.017168915394952418,4
