词语,权重,词频
电影,0.12965685938033106,20
百团大战,0.12192726483972736,12
一星,0.06315268859941578,6
片子,0.054306762216105156,6
豆瓣,0.054177648148490756,5
呵呵,0.051206694537078865,6
页面,0.04750507753446932,5
...,0.046561898745472244,4
主旋律,0.046465281525267764,5
鬼子,0.042672245447565725,5
你们,0.04145824869528725,9
负分,0.04060567960662123,3
一部,0.03783397793661149,6
票房,0.03497837089055502,4
三观,0.034921424059104186,3
没有,0.03334085610189873,11
评分,0.031449571741382666,4
拍得,0.029120307748539437,3
日军,0.028189074804206425,4
牺牲,0.027275453588510225,4
五星,0.027153381108052578,3
客观,0.027076067885725415,4
果粉,0.02707045307108082,2
中国,0.026529587322239534,9
爱国主义,0.026409538211129503,3
领导,0.025591526040944498,5
八一,0.025372176906630968,3
战斗,0.024105661820253164,4
不错,0.02410217650516066,4
抢劫,0.023953945701820835,3
五毛,0.023936202024342747,2
大业,0.023701402932648493,3
娘子,0.023436052201168456,3
那些,0.023398660606329114,5
加评,0.023280949372736122,2
24,0.023280949372736122,2
屁颠,0.023280949372736122,2
打一星,0.023280949372736122,2
400,0.023280949372736122,2
欺騙,0.023280949372736122,2
唐国强,0.023020907712366114,2
恶心,0.022933624722706915,3
宣传片,0.02240074465277507,2
教育,0.02211642678909445,4
包场,0.02207542024245375,2
桥段,0.021671059259396303,2
煽情,0.021671059259396303,2
场面,0.02157103576221032,3
看过,0.02138278047134372,3
抗战,0.021338550549201557,3
