词语,权重,词频
战狼,0.10679196776784118,18
李晨,0.1045469753562283,18
电影,0.10242891891046155,31
剧情,0.07709903880499257,17
空天猎,0.06526175808034738,11
导演,0.06437224847746897,18
空战,0.06355296498867495,14
台词,0.05965624065690323,13
空军,0.05370441063797518,16
范冰冰,0.050631044491563276,9
题材,0.043026315474918114,14
场面,0.04031232274701241,11
特效,0.038739624518431756,8
军事,0.03560693622496774,13
配乐,0.03424485592505211,7
尴尬,0.03298280952028288,9
飞机,0.029575097176526052,10
宣传片,0.02854288431563275,5
吴京,0.02759439732406948,4
镜头,0.025629894274689827,6
演技,0.02493928052183623,5
本片,0.02484244822014888,4
页面,0.02421226532401985,5
表演,0.02408078953618362,7
出来,0.02385169170808933,11
还是,0.02372856750467494,12
国产,0.022874672552694788,6
好看,0.022619043720744417,6
感觉,0.022397928692049627,8
豆瓣,0.02209049911602978,4
一星,0.02145833290044665,4
故事,0.021261847120838707,7
人物,0.02011501384655087,7
主旋律,0.018945843821915633,4
这部,0.018738309331513648,5
片子,0.018452620279880892,4
军迷,0.017798661294640195,3
20,0.017798661294640195,3
很燃,0.017798661294640195,3
10,0.017798661294640195,3
伟光,0.017798661294640195,3
老套,0.01712573058937965,3
不足,0.017010884987434242,6
虽然,0.016969250919543422,8
战机,0.016401633712436726,4
俗套,0.016312017875136475,3
就是,0.016071271448962778,9
一部,0.016069270198883375,5
主角,0.015920882710828786,4
中国空军,0.015903427037866003,3
