词语,权重,词频
战狼,0.08125585388547153,16
林超贤,0.07617736301762956,15
电影,0.06505150117720476,23
红海,0.059455470229260836,16
场面,0.05332890305471963,17
文戏,0.05200041555934579,11
行动,0.04891879049736619,20
湄公河,0.04667595629228971,11
狙击手,0.04027206304078165,9
黄景,0.0380690133997876,7
血腥,0.036851873314613426,10
海清,0.035549436074893796,7
片子,0.03553932336189889,9
英雄主义,0.03142706541741717,7
战争片,0.03132856348215803,6
导演,0.03061221577506372,10
动作,0.029475735346401872,11
节奏,0.028985469831818184,10
主旋律,0.028380536014031434,7
剧情,0.027174819889660154,7
没有,0.026447099109175868,20
100,0.025392454339209853,5
突突突,0.025392454339209853,5
比战,0.025392454339209853,5
血肉横飞,0.024077587711342396,5
还是,0.023696647171724726,14
题材,0.023676484741401868,9
国产,0.022843900903126595,7
好莱坞,0.022835263966108754,6
人质,0.022463248895683942,6
黑鹰坠落,0.02244270258521665,4
砰砰,0.02169031053079864,5
影片,0.02167394066269329,7
一个,0.021544569880348342,18
真的,0.0215393715969966,9
演员,0.021075034565514017,7
角色,0.020882097827425658,7
页面,0.020725452263338995,5
战争,0.02056654176017842,9
无敌,0.02029921884052676,5
尺度,0.020283462048045882,6
一场,0.02010955850117247,8
枪战,0.019886921112319458,4
上映,0.019853017757816484,5
分钟,0.01984761278384027,7
强者,0.019428817886299916,5
战争场面,0.01880622652149533,4
看到,0.018599527398746814,9
从头,0.018543317028334748,5
冷锋,0.018447162641121496,4
