词语,权重,词频
战争片,0.21948642391964285,1
34,0.21347799112321428,1
6000,0.21347799112321428,1
两星,0.21347799112321428,1
男主女,0.21347799112321428,1
主太,0.21347799112321428,1
宁化,0.19871587374464286,1
革命,0.19767875957857142,2
视死如归,0.18633824552142858,1
血肉之躯,0.1823535392482143,1
一个团,0.18191259973749999,1
立意,0.1780152146294643,1
誓死,0.1780152146294643,1
顽抗,0.17634510645071427,1
革命烈士,0.17341112339196427,1
破例,0.16728710997892857,1
感人,0.1656375864051786,1
拖住,0.16461690044375002,1
为了,0.16452941713464284,2
墨迹,0.1631875663782143,1
湘江,0.16063219417035715,1
身处,0.15579514141785714,1
水军,0.15539608251267856,1
阵亡,0.1533477084451786,1
要塞,0.14760514372875,1
受不了,0.1473518466751786,1
儿女,0.14023759773089287,1
掩护,0.13961533467142856,1
不由,0.1381671937132143,1
感慨,0.13644814621267856,1
信仰,0.12961055090375,1
兵力,0.12325300017375,1
爱情,0.12231586080196429,1
山区,0.11890348737,1
集体,0.11417029593303572,1
动作,0.11263941721660715,1
名字,0.11033724777071428,1
给予,0.10981486667857143,1
不想,0.10650669569232142,1
实在,0.10508964352535714,1
本来,0.10255393994249999,1
部队,0.1009967545725,1
真的,0.10060254114946429,1
战争,0.09605880814178572,1
以下,0.09273266792625,1
支持,0.0906612446925,1
年代,0.09005901462767858,1
最后,0.08315206663428572,1
生活,0.08274754344767857,1
最大,0.07994357331678571,1
