词语,权重,词频
负分,0.27987941581208053,12
卓建荣,0.18052501262768456,9
一星,0.14509577447785235,8
导演,0.13299877773145974,11
烂片,0.13296171615503355,6
卓导,0.12035000841845638,6
电影,0.11170939142919464,10
垃圾,0.09384088432144295,7
总动员,0.08396692410989932,5
票房,0.060273132390268463,4
不谢,0.06017500420922819,3
教育片,0.05890999869765101,3
侮辱,0.0574065108809396,4
豆瓣,0.05601387045151007,3
捉奸,0.05357003916442953,3
抄袭,0.05252487457651006,3
红军,0.05120596792026846,4
可以,0.047048580565906044,8
皮克斯,0.04664656930201343,2
电影频道,0.040633953633221476,2
细妹,0.04011666947281879,2
雷人,0.04011666947281879,2
男主,0.04011666947281879,2
抵制,0.040016955198271816,3
狗血,0.03966857755134228,2
真是,0.03809920987785235,4
光膀子,0.037790672222818796,2
山寨,0.03777054360785235,3
拍成,0.03546467497248322,2
吃屎,0.03534691886577181,2
汽车,0.03475780063644295,4
制片,0.03307928316825503,2
我爱你,0.03274343263617449,2
不要脸,0.03211390708620805,2
主旋律,0.03202674102446309,2
付费,0.031738343609026845,2
粉丝,0.03126077239365772,2
片子,0.031192978073791944,2
台词,0.031029252690671142,2
标签,0.030873145255637585,2
爱国主义,0.03033847398526846,2
作品,0.02960267545761745,3
呵呵,0.029412346358825503,2
水军,0.029201948391644292,2
集结,0.02785991843281879,2
国人,0.027116089669865773,2
还是,0.026741086980939598,4
为什么,0.02661101069864094,3
哈哈,0.02644994777677852,2
恶心,0.026345450324630874,2
