词语,权重,词频
好看,0.2081158588917808,12
不错,0.18366904025136985,13
剧情,0.16691330990283107,8
电影,0.12160510920876713,8
战争片,0.11224876474429224,4
何育骏,0.1091759589305936,4
绝战,0.1091759589305936,4
片子,0.10611309892682648,5
影片,0.0998443372210959,6
故事,0.09781420536184932,7
可以,0.0720229983320548,9
演技,0.06883924691986303,3
还是,0.06367797653223745,7
期待,0.061271674172968034,4
紧凑,0.06117030378356164,3
简直,0.06045644252593607,4
一部,0.059140784384931505,4
撩妹,0.0545879794652968,2
这部,0.05172286753835617,3
感觉,0.05152034967406393,4
情节,0.051137884473904105,3
军人,0.050213672818904105,3
演员,0.048542692140136984,3
感人,0.042354816615022835,2
紧张,0.04150665205636986,3
值得,0.041216495210068496,3
外加,0.03953849605899543,2
喜欢,0.03905882467821918,3
偏向,0.039014115878082185,2
一个,0.03859658865931507,6
主演,0.03820679526598174,2
刺激,0.03680231622267123,3
拍摄,0.03539821623771689,2
结局,0.03534969070082192,2
支持,0.03477417604643836,3
欣赏,0.03440277262210046,2
非常,0.033584130180410954,3
比较,0.03268331697739726,3
我们,0.030970940337808218,4
缓解,0.030628965437260274,2
想约,0.030154179158447487,1
首尾呼应,0.030154179158447487,1
妈妈,0.029932935212602742,2
算是,0.029813645464657534,2
荧幕,0.029228459733561644,1
成分,0.029029243403059363,2
心情,0.02899070975625571,2
没想到,0.02886534102547945,2
动作,0.028802773352191783,2
一定,0.028784624173972605,3
