词语,权重,词频
大鹏,0.15824708610871477,43
摇滚,0.14741756985426582,35
煎饼,0.11533665620981325,30
电影,0.07557461428216039,31
梦想,0.05675631551468326,20
乐队,0.055201041681113144,18
乔杉,0.05252918712369095,12
情怀,0.0467600725829513,14
笑点,0.04377432260307579,10
段子,0.04339213164953497,12
搞笑,0.0424266569176126,11
客串,0.03688526073163676,9
结尾,0.03654192715538997,11
好看,0.03615927317618089,13
故事,0.03585719261264005,16
缝纫机,0.034900145732369096,10
音乐,0.031558293108008055,13
最后,0.030691059380212375,18
喜剧,0.03029314001570853,10
剧情,0.026769692324218237,8
理想,0.026487757011691683,11
进步,0.026021911638377884,11
编剧,0.02515553767244233,8
就是,0.025033102543778836,19
觉得,0.022986389267001098,13
这部,0.02212094810867814,8
屌丝,0.021887161301537894,5
beyond,0.021887161301537894,5
老炮,0.021887161301537894,5
还是,0.021884412084364705,15
一部,0.021341355917740754,9
感动,0.02078995941228854,8
一个,0.020633840879751005,20
励志,0.02049181151757598,5
自己,0.019350268217905527,15
笑料,0.019284844053460273,5
大吉,0.019222776034968875,5
尴尬,0.018927642633288173,7
喜欢,0.018792858157151225,9
真的,0.018565976103745878,9
不错,0.01812737844804101,8
三星,0.01807547649534969,6
角色,0.017999435476294397,7
非常,0.017954166995020136,10
页面,0.017864413997766383,5
表演,0.01776740787821677,7
裤子,0.017583721239853536,6
完成度,0.017509729041230316,4
欢乐,0.017420906214990848,6
片子,0.017018505064060784,5
