词语,权重,词频
麻花,0.13607152984242332,27
开心,0.13304468967165645,32
电影,0.10551854376512271,31
笑点,0.10390135355281185,17
铁拳,0.0978770682417178,17
夏洛特,0.08556582057290388,14
喜剧,0.08459158014611452,20
羞羞,0.08011083042566461,14
马丽,0.078540278302454,12
沈腾,0.061118443266359915,10
真的,0.05472449068662066,19
烦恼,0.047455581581227,12
尴尬,0.04530358635539877,12
艾伦,0.042084906909202455,8
剧情,0.04204832998702454,9
互换,0.040329198841702454,9
好笑,0.03870432481205521,9
全程,0.03832142769846626,9
男女,0.03493972741226994,10
搞笑,0.03231098718404908,6
剧本,0.03139517064498978,8
好看,0.031068420652556238,8
换身,0.030559221633179957,5
全片,0.029647475866564417,5
老套,0.02940384043762781,5
笑料,0.02692582265337424,5
喜欢,0.0262389036948773,9
身体,0.026224996967162576,9
感觉,0.025957722190076686,9
一剪梅,0.025591785870961146,4
演员,0.025363308469948876,7
段子,0.0252436757700409,5
页面,0.024942594390541917,5
好运来,0.024447377306543967,4
3.5,0.024447377306543967,4
缝纫机,0.024364084354575665,5
票房,0.02295679122226483,5
桥段,0.022756828077096114,4
观众,0.02256235580257669,6
觉得,0.022218910720214723,9
就是,0.022074718452392637,12
话剧,0.021677256269683025,5
喜剧片,0.02147132979611452,4
拳击,0.021215372448670757,4
没有,0.0206885001773773,13
演技,0.020553231186707568,4
还是,0.0203702554200409,10
怎么,0.020335690287331287,9
套路,0.019738614335235175,4
上山,0.019601813996497956,5
