词语,权重,词频
王晶,0.193868749505799,45
跛豪,0.09756897876078179,19
追龙,0.09243376935231958,18
甄子丹,0.06964971133118557,15
雷洛,0.06675772231000858,13
港片,0.06568189612199313,11
刘德华,0.06528615678702748,14
...,0.05648730349308419,11
九龙城,0.05279742156142611,10
枭雄,0.0508664165790378,11
老港,0.04085749925953608,9
粤语,0.034873989653350514,7
电影,0.03431896767618557,12
还是,0.03251890775044674,19
粤语版,0.030811256450773192,6
黑帮片,0.029855407328178693,5
黑帮,0.028377077046649483,6
烂片,0.028366689156786938,5
导演,0.027858694304574744,9
剧情,0.027478318737225088,7
香港,0.027462746698324745,11
演技,0.025903427964690723,6
这么,0.024287449625824742,12
城寨,0.024039148305197593,5
人设,0.022693351325429552,4
吕良伟,0.022693351325429552,4
王胖子,0.022550430133805838,5
一部,0.02225400649536082,8
兄弟,0.022212381820206184,9
情义,0.021632380273840207,5
本片,0.021502376788487973,4
生死有命,0.021118968624570446,4
富贵在天,0.021118968624570446,4
角色,0.02111531713305842,7
页面,0.020956922091022335,5
雷洛传,0.020540837633848796,4
江湖,0.019968930302242265,6
香港电影,0.019764230892096217,4
认真,0.0192694683271134,7
故事,0.018403188122203606,7
居然,0.01815248347791237,6
最后,0.018001993807422678,9
五亿,0.017913244396907217,3
其实,0.01762062783731959,8
摄影,0.01749341803777921,5
探长,0.017020013494072166,3
有点,0.016833712628737115,7
剧本,0.016486510358032645,5
好看,0.016314924505047252,5
长镜头,0.015839226468427836,3
