词语,权重,词频
电影,0.21069239649303798,5
镇海,0.1789241931170886,3
保卫战,0.17787490174974685,3
浮夸,0.14086188518607595,2
页面,0.12351320158962024,2
历史,0.11653778666202533,4
下跪,0.11600606586810125,2
真的,0.10696979058930381,3
评分,0.10221110815949368,2
爱国,0.09754775013759494,2
细节,0.09121665308164557,2
感动,0.08983762524518987,2
吕良伟,0.08359196500886076,1
不够,0.08228693841531645,2
一部,0.08197361886265822,2
胜利,0.07772958191265823,2
CCTV6,0.0756630854613924,1
2014.10,0.0756630854613924,1
14,0.0756630854613924,1
CCAV6,0.0756630854613924,1
纪实性,0.0756630854613924,1
虽胜,0.0756630854613924,1
尤败,0.0756630854613924,1
两星,0.0756630854613924,1
半星,0.0756630854613924,1
男主,0.0756630854613924,1
anyway,0.0756630854613924,1
很合,0.0756630854613924,1
完正,0.0756630854613924,1
教育片,0.07407248781392406,1
短评,0.07340564910759494,1
薛福成,0.07340564910759494,1
睡过去,0.07127607798987343,1
有点,0.07086597287468355,2
挺不错,0.0684154126493671,1
只能,0.06700352142620253,2
想像中,0.06645240677405063,1
浮于,0.06584917778797468,1
无锡人,0.06584917778797468,1
卷毛,0.0656602349835443,1
扯淡,0.06402840517784811,1
拍出,0.06334719844240506,1
队友,0.06297110084424051,1
肤浅,0.06285054264822784,1
激动人心,0.06261610421987342,1
熊熊,0.062390040405949365,1
主旋律,0.0604048659828481,1
爸妈,0.05986092655373418,1
中朝,0.05915696683784811,1
片子,0.05883232573411392,1
