词语,权重,词频
黄轩,0.27345070187544185,110
段奕宏,0.1640704211252651,66
卧底,0.12411434333275109,53
演技,0.0982272639559368,47
祖峰,0.07457746414784777,30
缉毒,0.06294925235339988,25
电影,0.0595318836254398,43
反派,0.057674805551965067,21
湄公河,0.05608103045474111,27
剧情,0.051307881132014975,27
老段,0.04971830943189852,20
枪战,0.04867312570014556,20
开挂,0.04474647848870866,18
麦庄,0.04226056301711374,17
摩托,0.041301425307816594,21
非凡,0.040401959740786024,24
主角,0.03835793872080266,23
节奏,0.03547088583078603,25
动作,0.03541501327334373,27
主旋律,0.03373829694945518,17
逻辑,0.03219198039747141,22
不错,0.032170065594198376,25
剧本,0.03192397264587232,20
警察,0.03133377918170098,20
角色,0.030665289011703057,21
光环,0.030579821004483265,16
摩托车,0.030265675676689544,19
最后,0.030017048799567476,31
演员,0.029474872332959038,20
毒枭,0.029283160531565818,11
毒贩,0.027464193119983365,10
一部,0.026932484467248906,20
故事,0.026726526480655023,21
警匪片,0.02601499248658765,9
港片,0.02601499248658765,9
硬汉,0.025744625610729883,12
三星,0.025662365517155335,15
bug,0.02485915471594926,10
怎么样,0.023360737801746728,17
毒战,0.02237323924435433,9
还是,0.02237042897157829,27
行动,0.02155112280052402,18
真是,0.020067643713994592,17
贩毒,0.019990895496756082,9
追车,0.019887323772759407,8
任务,0.019877561935753796,17
精彩,0.019844398409981284,12
有点,0.01862644826650031,16
一星,0.017982341773508007,8
导演,0.017981573533250157,12
